filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform,raw_output
2601.07342v1_Agentic Diagnostic Reasoning over Telecom and Data.pdf,Agentic Diagnostic Reasoning over Telecom and Datacenter Infrastructure,Nicolas Tacheny,arXiv:2601.07342v1,1,,Large-scale telecom and datacenter infrastructures rely on multi-layered service and resource models... This work introduces an agent-based diagnostic framework using a Large Language Model (LLM) to autonomously navigate infrastructure models and perform root cause analysis.,29.4,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Agentic Diagnostic Reasoning over Telecom and || Datacenter Infrastructure || Foundation for Autonomous Incident Resolution and Change Impact || Mitigation || Nicolas Tacheny || Ni2 Innovation Lab || nicolas.tacheny@ni2.com || Abstract || Large-scale telecom and datacenter infrastructures rely on multi-lay ... (truncated) ||  || { || ""title"": ""Agentic Diagnostic Reasoning over Telecom and Datacenter Infrastructure"", || ""authors"": [""Nicolas Tacheny""], || ""doi"": ""arXiv:2601.07342v1"", || ""arxiv_id"": ""1"", || ""keywords"": [], || ""summary"": ""Large-scale telecom and datacenter infrastructures rely on multi-layered service and resource models... This work introduces an agent-based diagnostic framework using a Large Language Model (LLM) to autonomously navigate infrastructure models and perform root cause analysis."" || } ||  || [ Prompt: 130.8 t/s | Generation: 29.4 t/s ]"
2601.07344v1_PulseMind A Multi-Modal Medical Model for Real-Wor.pdf,PulseMind: A Multi-Modal Medical Model for Real-World Clinical Diagnosis,"Jiao Xu1, Junwei Liu, Jiangwei Lao, Qi Zhu, Yunpeng Zhao, Congyun Jin, Shinan Liu, Zhihong Lu2, Lihe Zhang, Xin Chen, Jian Wang, Ping Wang",,,,"Recent advances in medical multi-modal models focus on specialized image analysis like dermatology, pathology, or radiology. However, they do not fully capture the complexity of real-world clinical diagnostics, which involve heterogeneous inputs and require ongoing contextual understanding during patient-physician interactions. To bridge this gap, we introduce PulseMind, a new family of multi-modal diagnostic models that integrates a systematically curated dataset, a comprehensive evaluation benchmark, and a tailored training framework.",30.0,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || PulseMind: A Multi-Modal Medical Model for Real-World Clinical Diagnosis || Jiao Xu1,2*, Junwei Liu 2,3*, Jiangwei Lao 2, Qi Zhu 2, Yunpeng Zhao4, Congyun Jin 2, Shinan Liu 4, || Zhihong Lu2, Lihe Zhang 1†, Xin Chen 5†, Jian Wang2†, Ping Wang3† || 1 Dalian University of Technology || 2  ... (truncated) ||  || { || ""title"": ""PulseMind: A Multi-Modal Medical Model for Real-World Clinical Diagnosis"", || ""authors"": [ || ""Jiao Xu1"", || ""Junwei Liu"", || ""Jiangwei Lao"", || ""Qi Zhu"", || ""Yunpeng Zhao"", || ""Congyun Jin"", || ""Shinan Liu"", || ""Zhihong Lu2"", || ""Lihe Zhang"", || ""Xin Chen"", || ""Jian Wang"", || ""Ping Wang"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [], || ""summary"": ""Recent advances in medical multi-modal models focus on specialized image analysis like dermatology, pathology, or radiology. However, they do not fully capture the complexity of real-world clinical diagnostics, which involve heterogeneous inputs and require ongoing contextual understanding during patient-physician interactions. To bridge this gap, we introduce PulseMind, a new family of multi-modal diagnostic models that integrates a systematically curated dataset, a comprehensive evaluation benchmark, and a tailored training framework."" || } ||  || [ Prompt: 129.0 t/s | Generation: 30.0 t/s ]"
2601.07348v4_Controlled Self-Evolution for Algorithmic Code Opt.pdf,Controlled Self-Evolution for Algorithmic Code Optimization,"Tu Hu1, Ronghao Chen2, Shuo Zhang3, Jianghao Yin4, Mou Xiao Feng3, Jingping Liu5, Shaolei Zhang6, Wenqi Jiang, Yuqi Fang, Sen Hu, Huacan Wang, Yi Xu",arXiv:2601.07348v4,2601.07348v4,"Controlled Self-Evolution, Code Optimization, Algorithmic Code, Evolutionary Algorithms, Exploration Efficiency, LLM Backbones","Self-evolution methods enhance code generation through iterative cycles, but face low exploration efficiency. This paper proposes Controlled Self-Evolution (CSE) to address inefficiencies by improving solution quality and resource utilization.",29.3,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || 2026-01-16 || Controlled Self-Evolution for Algorithmic Code Optimization || Tu Hu1*, Ronghao Chen2,7*, Shuo Zhang3*, Jianghao Yin4, Mou Xiao Feng3, Jingping Liu5, || Shaolei Zhang6,Wenqi Jiang 1,Yuqi Fang 1†,Sen Hu 2,7†,Huacan Wang 3†,Yi Xu 3† || 1NJU, 2PKU, 3Midea-AIRC, 4ECNU, 5SYSU,  ... (truncated) ||  || { || ""title"": ""Controlled Self-Evolution for Algorithmic Code Optimization"", || ""authors"": [ || ""Tu Hu1"", || ""Ronghao Chen2"", || ""Shuo Zhang3"", || ""Jianghao Yin4"", || ""Mou Xiao Feng3"", || ""Jingping Liu5"", || ""Shaolei Zhang6"", || ""Wenqi Jiang"", || ""Yuqi Fang"", || ""Sen Hu"", || ""Huacan Wang"", || ""Yi Xu"" || ], || ""doi"": ""arXiv:2601.07348v4"", || ""arxiv_id"": ""2601.07348v4"", || ""keywords"": [ || ""Controlled Self-Evolution"", || ""Code Optimization"", || ""Algorithmic Code"", || ""Evolutionary Algorithms"", || ""Exploration Efficiency"", || ""LLM Backbones"" || ], || ""summary"": ""Self-evolution methods enhance code generation through iterative cycles, but face low exploration efficiency. This paper proposes Controlled Self-Evolution (CSE) to address inefficiencies by improving solution quality and resource utilization."" || } ||  || [ Prompt: 136.8 t/s | Generation: 29.3 t/s ]"
2601.07351v2_Beyond Hard Masks Progressive Token Evolution for .pdf,Beyond Hard Masks: Progressive Token Evolution for Diffusion Language Models,"Linhao Zhong, Linyu Wu, Bozhen Fang, Tianjian Feng, Chenchen Jing, Wen Wang, Jiaheng Zhang, Hao Chen, Chunhua Shen",,,"Diffusion Language Models, Token Evolution, Progressive Token Distributions, Masked Diffusion Models, Revisionable Decoding","The paper introduces EvoToken-DLM, a diffusion-based language modeling approach that uses evolving soft token distributions to enable progressive transitions from masked states to discrete outputs, improving decoding flexibility.",30.5,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Beyond Hard Masks: Progressive Token Evolution for || Diffusion Language Models || Linhao Zhong1* Linyu Wu2* Bozhen Fang1 Tianjian Feng1 Chenchen Jing1,3 || Wen Wang1 Jiaheng Zhang2 Hao Chen1 Chunhua Shen1,3† || 1Zhejiang University 2National University of Singapore 3Zhejiang University of Te ... (truncated) ||  || { || ""title"": ""Beyond Hard Masks: Progressive Token Evolution for Diffusion Language Models"", || ""authors"": [ || ""Linhao Zhong"", || ""Linyu Wu"", || ""Bozhen Fang"", || ""Tianjian Feng"", || ""Chenchen Jing"", || ""Wen Wang"", || ""Jiaheng Zhang"", || ""Hao Chen"", || ""Chunhua Shen"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [ || ""Diffusion Language Models"", || ""Token Evolution"", || ""Progressive Token Distributions"", || ""Masked Diffusion Models"", || ""Revisionable Decoding"" || ], || ""summary"": ""The paper introduces EvoToken-DLM, a diffusion-based language modeling approach that uses evolving soft token distributions to enable progressive transitions from masked states to discrete outputs, improving decoding flexibility."" || } ||  || [ Prompt: 130.1 t/s | Generation: 30.5 t/s ]"
2601.07356v1_Efficient Convolutional Forward Model for Passive .pdf,Efficient Convolutional Forward Model for Passive Acoustic Mapping and Temporal Monitoring,"Tatiana Gelvez-Barrera, Barbara Nicolas, Bruno Gilles, Adrian Basarab, Denis Kouam",10.1016/j.jlaf.2015.02.005,10.1016/j.jlaf,"Passive Acoustic Mapping, Model-based beamforming, Convolutional forward model, Temporal monitoring","This paper introduces a PAM beamforming framework based on a novel convolutional formulation in the time domain, enabling efficient computation and higher temporal resolution for monitoring cavitation activity in therapeutic ultrasound applications.",36.3,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || JOURNAL OF LATEX CLASS FILES, VOL. 14, NO. 8, AUGUST 2015 1 || Efficient Convolutional Forward Model for Passive || Acoustic Mapping and Temporal Monitoring || Tatiana Gelvez-Barrera, Barbara Nicolas, Bruno Gilles, Adrian Basarab, Denis Kouam ´e || Abstract—Passive acoustic mapping (PAM) is  ... (truncated) ||  || { || ""title"": ""Efficient Convolutional Forward Model for Passive Acoustic Mapping and Temporal Monitoring"", || ""authors"": [ || ""Tatiana Gelvez-Barrera"", || ""Barbara Nicolas"", || ""Bruno Gilles"", || ""Adrian Basarab"", || ""Denis Kouam"" || ], || ""doi"": ""10.1016/j.jlaf.2015.02.005"", || ""arxiv_id"": ""10.1016/j.jlaf"", || ""keywords"": [ || ""Passive Acoustic Mapping"", || ""Model-based beamforming"", || ""Convolutional forward model"", || ""Temporal monitoring"" || ], || ""summary"": ""This paper introduces a PAM beamforming framework based on a novel convolutional formulation in the time domain, enabling efficient computation and higher temporal resolution for monitoring cavitation activity in therapeutic ultrasound applications."" || } ||  || [ Prompt: 122.8 t/s | Generation: 36.3 t/s ]"
2601.07359v1_Seeing Right but Saying Wrong Inter- and Intra-Lay.pdf,Seeing Right but Saying Wrong: Inter- and Intra-Layer Refinement in MLLMs,"Shezheng Song, Shasha Li, Jie Yu",10.48550/arXiv.2303.06912,arXiv:2303.06912,"MLLMs, vision-language tasks, attention mechanisms, model refinement","The paper discusses the issue of 'seeing it right but saying it wrong' in multimodal large language models, proposing DualPD to improve visual understanding without additional training.",28.5,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Seeing Right but Saying Wrong: Inter- and Intra-Layer Refinement in MLLMs || without Training || Shezheng Song, Shasha Li, Jie Yu || 1National University of Defense Technology || Abstract || Multimodal Large Language Models (MLLMs) have demon- || strated strong capabilities across a variety of vision ... (truncated) ||  || { || ""title"": ""Seeing Right but Saying Wrong: Inter- and Intra-Layer Refinement in MLLMs"", || ""authors"": [""Shezheng Song"", ""Shasha Li"", ""Jie Yu""], || ""doi"": ""10.48550/arXiv.2303.06912"", || ""arxiv_id"": ""arXiv:2303.06912"", || ""keywords"": [""MLLMs"", ""vision-language tasks"", ""attention mechanisms"", ""model refinement""], || ""summary"": ""The paper discusses the issue of 'seeing it right but saying it wrong' in multimodal large language models, proposing DualPD to improve visual understanding without additional training."" || } ||  || [ Prompt: 123.1 t/s | Generation: 28.5 t/s ]"
2601.07364v1_On the universal definition of intelligence.pdf,Human - AI Comparison,Joseph Chen,,,,"This paper proposes a universal definition of intelligence for fair comparison between human and artificial intelligence, addressing the limitations of existing anthropocentric definitions.",32.4,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || On the universal definition of intelligence || A definition for Human - AI Comparison || Joseph Chen || University of Tokyo ||  ||  || Abstract || This paper aims to propose a universal definition of intelligence that enables fair and || consistent comparison of human and artificial intelligence ( ... (truncated) ||  || { || ""title"": ""Human - AI Comparison"", || ""authors"": [""Joseph Chen""], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [], || ""summary"": ""This paper proposes a universal definition of intelligence for fair comparison between human and artificial intelligence, addressing the limitations of existing anthropocentric definitions."" || } ||  || [ Prompt: 138.9 t/s | Generation: 32.4 t/s ]"
2601.07372v1_Conditional Memory via Scalable Lookup A New Axis .pdf,Conditional Memory via Scalable Lookup: A New Axis of Sparsity for Large Language Models,"Xin Cheng, Wangding Zeng, Damai Dai, Qinyu Chen, Bingxuan Wang, Zhenda Xie, Kezhao Huang, Xingkai Yu, Zhewen Hao, Yukun Li, Han Zhang, Huishuai Zhang, Dongyan Zhao, Wenfeng Liang",10.48550/arXiv.2303.04219,arXiv:2601.07372v1,"conditional memory, scalable lookup, sparsity, large language models, Engram, MoE, knowledge retrieval","This paper introduces conditional memory as a new sparsity axis for LLMs, leveraging Engram to enable efficient retrieval. It demonstrates improved performance across reasoning benchmarks and highlights benefits in long-context understanding.",29.9,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Conditional Memory via Scalable Lookup: || A New Axis of Sparsity for Large Language Models || Xin Cheng1,2, Wangding Zeng2, Damai Dai2, Qinyu Chen2, Bingxuan Wang2, || Zhenda Xie2, Kezhao Huang2, Xingkai Yu2, Zhewen Hao2, Yukun Li2, Han Zhang2, || Huishuai Zhang1, Dongyan Zhao1, Wenfeng Liang2 ... (truncated) ||  || { || ""title"": ""Conditional Memory via Scalable Lookup: A New Axis of Sparsity for Large Language Models"", || ""authors"": [ || ""Xin Cheng"", || ""Wangding Zeng"", || ""Damai Dai"", || ""Qinyu Chen"", || ""Bingxuan Wang"", || ""Zhenda Xie"", || ""Kezhao Huang"", || ""Xingkai Yu"", || ""Zhewen Hao"", || ""Yukun Li"", || ""Han Zhang"", || ""Huishuai Zhang"", || ""Dongyan Zhao"", || ""Wenfeng Liang"" || ], || ""doi"": ""10.48550/arXiv.2303.04219"", || ""arxiv_id"": ""arXiv:2601.07372v1"", || ""keywords"": [ || ""conditional memory"", || ""scalable lookup"", || ""sparsity"", || ""large language models"", || ""Engram"", || ""MoE"", || ""knowledge retrieval"" || ], || ""summary"": ""This paper introduces conditional memory as a new sparsity axis for LLMs, leveraging Engram to enable efficient retrieval. It demonstrates improved performance across reasoning benchmarks and highlights benefits in long-context understanding."" || } ||  || [ Prompt: 122.2 t/s | Generation: 29.9 t/s ]"
2601.07376v1_OpenTinker Separating Concerns in Agentic Reinforc.pdf,OpenTinker: Separating Concerns in Agentic Reinforcement Learning,"Siqi Zhu, Jiaxuan You",10.48550/arxiv/2303.06931,arXiv:2303.06931,"OpenTinker, Reinforcement Learning, RLHF, multi-agent, agentic systems","Introduces OpenTinker, an infrastructure for RL of LLM agents with separation of concerns in algorithm design, execution, and agent-environment interaction. Presents a centralized scheduler and discusses design principles for multi-agent training.",30.2,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || OpenTinker: Separating Concerns in Agentic || Reinforcement Learning || Siqi Zhu,Jiaxuan You || University of Illinois Urbana-Champaign || Abstract || We introduceOpenTinker, an infrastructure for reinforcement learning (RL) of large language || model (LLM) agents built around a separation of concern ... (truncated) ||  || { || ""title"": ""OpenTinker: Separating Concerns in Agentic Reinforcement Learning"", || ""authors"": [""Siqi Zhu"", ""Jiaxuan You""], || ""doi"": ""10.48550/arxiv/2303.06931"", || ""arxiv_id"": ""arXiv:2303.06931"", || ""keywords"": [""OpenTinker"", ""Reinforcement Learning"", ""RLHF"", ""multi-agent"", ""agentic systems""], || ""summary"": ""Introduces OpenTinker, an infrastructure for RL of LLM agents with separation of concerns in algorithm design, execution, and agent-environment interaction. Presents a centralized scheduler and discusses design principles for multi-agent training."" || } ||  || [ Prompt: 131.8 t/s | Generation: 30.2 t/s ]"
2601.07377v1_Learning Dynamic Collaborative Network for Semi-su.pdf,Learning Dynamic Collaborative Network for Semi-supervised 3D Vessel Segmentation,"Jiao Xu1, Xin Chen2, Lihe Zhang1",,,"3D vessel segmentation, semi-supervised learning, dynamic collaborative network, medical imaging, label inconsistency","This paper presents DiCo, a dynamic collaborative network for semi-supervised 3D vessel segmentation. It addresses challenges like data scarcity and complex vessel shapes by introducing a dynamic teacher-student role switching and multi-view integration. Experiments show state-of-the-art performance on 3D vessel segmentation benchmarks.",37.8,LFM-2.5-1.2B,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Learning Dynamic Collaborative Network for Semi-supervised 3D V essel || Segmentation || Jiao Xu1*, Xin Chen2*, Lihe Zhang1† || 1Dalian University of Technology 2City University of Hong Kong || xjmmcome@mail.dlut.edu.cn, xche32@cityu.edu.hk, zhanglihe@dlut.edu.cn || Abstract || In this paper, we pr ... (truncated) ||  || { || ""title"": ""Learning Dynamic Collaborative Network for Semi-supervised 3D Vessel Segmentation"", || ""authors"": [ || ""Jiao Xu1"", || ""Xin Chen2"", || ""Lihe Zhang1"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [ || ""3D vessel segmentation"", || ""semi-supervised learning"", || ""dynamic collaborative network"", || ""medical imaging"", || ""label inconsistency"" || ], || ""summary"": ""This paper presents DiCo, a dynamic collaborative network for semi-supervised 3D vessel segmentation. It addresses challenges like data scarcity and complex vessel shapes by introducing a dynamic teacher-student role switching and multi-view integration. Experiments show state-of-the-art performance on 3D vessel segmentation benchmarks."" || } ||  || [ Prompt: 124.6 t/s | Generation: 37.8 t/s ]"
