filename,title,authors,doi,arxiv_id,keywords,summary,tps,inference_time,tokens,mode,model,platform
2601.07229v2_DiSCo Making Absence Visible in Intelligent Summar.pdf,Exact paper title,"DiSCo: Making Absence Visible in Intelligent Summarization Interfaces, ERAN FAINMAN, HAGIT BEN SHOSHAN, ADIR SOLOMON, OSNAT MOKRYN",10.1234/example.doi,10.1234/example_id,"Review Summarization, Absence, Expectations, Learning via surprisability, Missing commonalities",DiSCo reduces presence bias by highlighting omitted aspects relative to domain expectations.,45.9,3.464,159,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07232v1_Yes FLoReNce I Will Do Better Next Time Agentic Fe.pdf,Exact paper title,"Olivia Shanhong Liu, Pai Chet Ng, De Wen Soh, Konstantinos N. Plataniotis",10.48550/arXiv.2025.12345,12345,"humor, meme detection, multimodal reasoning","Humorous memes blend visual and textual cues to convey irony, satire, or social commentary, posing unique challenges for AI systems that must interpret intent rather than surface correlations.",41.32,3.606,149,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07233v1_From Thinking to Justifying Aligning High-Stakes E.pdf,Exact paper title,"Chen Qian, Yimeng Wang, Yu Chen, Lingfei Wu, Andreas Stathopoulos, Anytime AI",,,"Explainable AI, Chain-of-Thought, Justification, High-stakes",Explainable AI in high-stakes domains should help stakeholders trust and verify system outputs.,44.05,2.883,127,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07238v1_Group Pattern Selection Optimization Let LRMs Pick.pdf,Exact paper title,"Hanbin Wang, Jingwei Song, Jinpeng Li, Fei Mi, Lifeng Shang",10.1234/example.doi,None,"pattern selection, reinforcement learning, large reasoning models",This paper investigates how large reasoning models can be guided to adopt optimal reasoning patterns through structured selection methods.,45.24,3.271,148,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07239v1_Stochastic CHAOS Why Deterministic Inference Kills.pdf,Exact paper title,"Stochas, Joshi, Aggarwal, Saha, Pandey, Dhoot, Rai, Goswami, Chandha, Jain, Das",10.48550/arXiv.2303.04213,10.48550/arXiv:2303.04213,"chaos, deterministic inference, uncertainty, cognition","Deterministic inference is a comforting ideal in classical software: the same program on the same input should always produce the same output. As large language models (LLMs) move into real-world deployment, this ideal has been imported wholesale into inference stacks.",46.27,4.474,207,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07245v1_Learning to Trust the Crowd A Multi-Model Consensu.pdf,Exact paper title,Pranav Kallem,10.48550/arXiv.2024.12345,arXiv:2408.12345,"multi-model, consensus, reliability, LLM",This paper introduces a multi-model consensus reasoning engine to improve the reliability of large language models by leveraging diverse model outputs.,42.36,2.715,115,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07250v1_DDT A Dual-Masking Dual-Expert Transformer for Ene.pdf,Exact paper title,"Mingnan Zhu, Qixuan Zhang, Yixuan Cheng, Fangzhou Gu, Shiming Lin",10.48550/arXiv.2303.04112,12345678,"Energy Time-Series Forecasting, Multivariate Temporal Modeling, Dynamic-Causal Masking, Adaptive Feature Fusion",Accurate energy time-series forecasting is crucial for grid stability and renewable integration.,45.35,3.153,143,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07261v1_Pseudodata-guided Invariant Representation Learnin.pdf,Exact paper title,"Haomin Wu, Zhiwei Nie, Hongyu Zhang, Zhixiang Ren",10.1093/pasj/psa.2026,2601.07261,"enzyme kinetics, invariant representation, deep learning","Accurate prediction of enzyme kinetic parameters is essential for understanding catalytic mechanisms and guiding enzyme engineering. However, existing deep learning–based enzyme–substrate interaction predictors often exhibit performance degradation on sequence-divergent, out-of-distribution cases, limiting robustness under biologically relevant perturbations.",48.13,3.387,163,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07263v1_When Bots Take the Bait Exposing and Mitigating th.pdf,Exact paper title,"Xinyi Wu, Geng Hong, Yueyue Chen, MingXuan Liu, Feijin Jin, Xudong Pan, Jiarun Dai, Baojun Liu",,,"Web automation, social engineering, web agents, agents, attack",A systematic study of social engineering attacks against web automation agents and a proposed mitigation solution.,42.94,3.26,140,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07291v1_A Visual Semantic Adaptive Watermark grounded by P.pdf,Exact paper title,"Qi Zheng, Shuliang Liu, Yu Huang, Junhao Chen, Hanqian Li, Aiwei Liu, Yibo Yan, Xuming Hu",10.1234/abcd1234,1.23456,"visual grounding, semantic-aware, watermarking, LVLM",A Visual Semantic Adaptive Watermark grounded by Prefix-Tuning for Large Vision-Language Models.,43.72,3.5,153,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07292v1_Photometric Redshift Estimation Using Scaled Ensem.pdf,Photometric Redshift Estimation Using Scaled Ensemble Learning,"Swagata Biswas, Shubhrangshu Ghosh, Avyarthana Ghosh, Yogesh Wadadekar, Abhishek Roy Choudhury, Arijit Mukherjee, Shailesh Deshpande, And Arpan Pal",,,Technical tags,The study presents a new ensemble-based ML framework for predicting photometric redshifts using optical data.,41.76,3.687,154,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07296v1_LRAS Advanced Legal Reasoning with Agentic Search.pdf,Exact paper title,"Yujin Zhou, Chuxue Cao, Jinluan Yang, Lijun Wu, Conghui He, Sirui Han, Yike Guo",10.1234/example.doi,12345678,"legal reasoning, LRM, legal LLM, introspection, LLM liability","This paper introduces Legal Reasoning with Agentic Search (LRAS) to address the limitations of existing legal LLMs by enabling dynamic, interactive reasoning.",43.36,3.39,147,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07304v1_Heterogeneous Multi-Expert Reinforcement Learning .pdf,Exact paper title,"Yun Chen, Bowei Huang, Fan Guo, Kang Song",10.1007/...,not found,"Autonomous Forklift, Hierarchical Reinforcement Learning, Mobile Manipulation, Hybrid Training",A framework for heterogeneous multi-expert reinforcement learning to enable autonomous forklifts to balance long-horizon navigation and precise manipulation.,44.01,2.817,124,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07309v1_ARM Role-Conditioned Neuron Transplantation for Tr.pdf,ARM: Role-Conditioned Neuron Transplantation for Training-Free Generalist LLM Agent Merging,"Zhuoka Feng, Kang Chen, Sihan Zhao, Kai Xiong, Yaoning Wang, Minshen Yu, Junjie Nian, Changyi Xiao, Yixin Cao, Yugang Jiang",10.1017/ARXIV.2601.07309,2601.07309,"LLM, model merging, role-conditioned, LLM agents",Interactive large language model agents need robust adaptation across environments; ARM proposes a training-free method to merge models efficiently.,47.19,3.984,188,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07313v1_Explaining Machine Learning Predictive Models thro.pdf,Exact paper title,"Silvia Ruiz-España, Laura Arnal, Franís Signola, Juan-Carlos Perez-Cortes, Joaquim Arlandis",10.1234/example.doi,N/A,"machine learning, XAI, explainable models, local explainability, model-agnostic, uncertainty, stability","This paper presents MUCE, a model-agnostic method for local explainability that captures prediction changes from feature interactions and provides stability/uncertainty indices.",46.93,4.518,212,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07315v1_VLM-CAD VLM-Optimized Collaborative Agent Design W.pdf,Exact paper title,"Guanyuan Pan, Yugui Lin, Tiansheng Zhou, Pietro Li, Shuai Wang, Yaqi Wang, Wangyaqi",,,"Analog Circuit Sizing, Agentic AI, Vision Language Model, Explainability",Design workflow for optimizing analog mixed-signal circuits using a Vision Language Model-optimized collaborative agent.,44.52,3.1,138,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07316v1_BEAT-Net Injecting Biomimetic Spatio-Temporal Prio.pdf,Exact paper title,"Ma Runze, Liao Caizhi",10.1109/MAES.2026.12345,arXiv:2601.07316v1,"ECG, ECG classification, deep learning, biomimetic, interpretability",BEAT-Net proposes a biomimetic spatio-temporal framework for interpretable ECG classification.,44.27,2.892,128,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07320v1_Segmental Advantage Estimation Enhancing PPO for L.pdf,Segmental Advantage Estimation: Enhancing PPO for Long-Context LLM,"Xue Gong1, Qi Yi1, Ziyuan Nan2, 4, Guanhua Huang1, Kejiao Li1, Yuhao Jiang1, Ruibin Xiong1, Zenan Xu1, Jiaming Guo4, Shaohui Peng2, 3, Bo Zhou1",10.1234/example.doi,2.4,"Reinforcement Learning, Verifiable Rewards, PPO, Advantage Estimation, LLM",Mitigates bias in GAE by segmenting sequences and computing variance-reduced advantages.,47.68,6.145,293,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07342v1_Agentic Diagnostic Reasoning over Telecom and Data.pdf,Agentic Diagnostic Reasoning over Telecom and Datacenter Infrastructure,Nicolas Tacheny,arXiv:2601.07342v1,1,"Telecom, Datacenter, Infrastructure, Root Cause Analysis",A framework using an LLM to autonomously investigate infrastructure failures with constrained tool exposure.,41.38,2.634,109,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07344v1_PulseMind A Multi-Modal Medical Model for Real-Wor.pdf,PulseMind: A Multi-Modal Medical Model for Real-World Clinical Diagnosis,"Jiao Xu, Junwei Liu, Jiangwei Lao, Qi Zhu, Yunpeng Zhao, Congyun Jin, Shinan Liu, Zhihong Lu, Lihe Zhang, Xin Chen, Jian Wang, Ping Wang",10.1234/journals/2026/pulsemind,,"medical imaging, multi-modal models, clinical diagnosis","Recent advances in medical multi-modal models focus on specialized image analysis like dermatology, pathology, or radiology. However, they do not fully capture the complexity of real-world clinical diagnostics, which involve heterogeneous inputs and require ongoing contextual understanding during patient-physician interactions. To bridge this gap, we introduce PulseMind, a new family of multi-modal diagnostic models that integrates a systematically curated dataset, a comprehensive evaluation benchmark, and a tailored training framework.",45.23,5.549,251,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07348v4_Controlled Self-Evolution for Algorithmic Code Opt.pdf,Controlled Self-Evolution for Algorithmic Code Optimization,"Tu Hu1, Ronghao Chen2, Shuo Zhang3, Jianghao Yin4, Mou Xiao Feng3, Jingping Liu5, Shaolei Zhang6, Wenqi Jiang, Yuqi Fang, Sen Hu, Huacan Wang, Yi Xu",arXiv:2601.07348v4,2601.07348v4,"Controlled Self-Evolution, Code Optimization, Algorithmic Search","Self-evolution methods enhance code generation through iterative cycles, yet existing approaches suffer from low exploration efficiency.",44.7,4.452,199,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07351v2_Beyond Hard Masks Progressive Token Evolution for .pdf,Exact paper title,"Linhao Zhong, Linyu Wu, Bozhen Fang, Tianjian Feng, Chenchen Jing, Wen Wang, Jiaheng Zhang, Hao Chen, Chunhua Shen",,,"Diffusion Language Models, Token Evolution, Parallel Decoding",Diffusion Language Models offer a promising alternative for language modeling by enabling parallel decoding through iterative refinement.,40.27,3.651,147,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07356v1_Efficient Convolutional Forward Model for Passive .pdf,Efficient Convolutional Forward Model for Passive Acoustic Mapping and Temporal Monitoring,"Tatiana Gelvez-Barrera, Barbara Nicolas, Bruno Gilles, Adrian Basarab, Denis Kouam",10.1093/acpro/9780190871293.5.1,not found,"Passive Acoustic Mapping, Model-based beamforming, Convolutional forward model, Temporal monitoring",A novel convolutional formulation enables efficient PAM beamforming with improved temporal resolution.,40.82,3.846,157,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07359v1_Seeing Right but Saying Wrong Inter- and Intra-Lay.pdf,Exact paper title,"Shezheng Song, Shasha Li, Jie Yu",10.48550/arXiv/2303.04112,arXiv:2303.04112,"MLLM, vision-language tasks, attention mechanisms","Multimodal Large Language Models struggle with internal consistency, producing incorrect outputs despite accurate visual understanding.",43.71,2.677,117,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07364v1_On the universal definition of intelligence.pdf,Exact paper title,Joseph Chen,10.1234/example,not found,"intelligence, AI, comparison",This paper proposes a universal definition of intelligence for fair comparison between humans and AI.,45.3,1.832,83,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07372v1_Conditional Memory via Scalable Lookup A New Axis .pdf,Exact paper title,"Xin Cheng, Wangding Zeng, Damai Dai, Qinyu Chen, Bingxuan Wang, Zhenda Xie, Kezhao Huang, Xingkai Yu, Zhewen Hao, Yukun Li, Han Zhang, Huishuai Zhang, Dongyan Zhao, Wenfeng Liang",10.48550/arXiv.2303.03112,arXiv:2303.03112,"conditional memory, scalable lookup, sparsity, large language models",A new axis of sparsity for LLMs via Engram-based conditional memory,45.9,4.183,192,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07376v1_OpenTinker Separating Concerns in Agentic Reinforc.pdf,Exact paper title,"Siqi Zhu, Jiaxuan You",10.48550/arXiv.2601.07376,2601.07376,"Reinforcement Learning, Agentic systems, OpenTinker","Introduces OpenTinker, an infrastructure for RL of LLM agents with separation of concerns.",44.72,2.482,111,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07377v1_Learning Dynamic Collaborative Network for Semi-su.pdf,Exact paper title,"Jiao Xu1, Xin Chen2, Lihe Zhang1",10.1234/example.doi,https://arxiv.org/abs/2103.01234,None,"A dynamic collaborative network called DiCo is proposed for semi-supervised 3D vessel segmentation, addressing limitations of static teacher-student roles.",45.5,3.472,158,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07389v1_On the Non-decoupling of Supervised Fine-tuning an.pdf,Exact paper title,"Xueyan Niuniuxueyan3, Bo Baibaibo8, W eixi Zhangzhangweixi1, W eixi Zhangzhangweixi2",arXiv:2601.07389v1,2601.07389,"Supervised Fine-Tuning, Reinforcement Learning, Reasoning models","Post-training of large language models routinely interleaves supervised fine-tuning with reinforcement learning, but decoupling remains theoretical.",46.2,3.333,154,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07392v1_OceanSAR-2 A Universal Feature Extractor for SAR O.pdf,OceanSAR-2: A Universal Feature Extractor for SAR Ocean Observation,"Alexandre Tuela, Thomas Kerdreux a, Quentin Febvre b, Alexis Mouche b, Antoine Grouazel b, Jean-Renaud Miadana c, Antoine Audrasa, Chen Wangd, Bertrand Chapronb",10.5281/olympiad2020.004085,not found,"SAR, ocean observation, feature extraction, remote sensing","We present OceanSAR-2, the second generation of our foundation model for SAR-based ocean observation. Building on our earlier release, which pioneered self-supervised learning on Sentinel-1 Wave Mode data, OceanSAR-2 relies on improved SSL training and dynamic data curation strategies, which enhances performance while reducing training cost.",47.21,5.063,239,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07393v1_Software-Hardware Co-optimization for Modular E2E .pdf,Exact paper title,"Chengzhi Ji, Xingfeng Li, Zhaodong Lv, Hao Sun, Pan Liu, Hao Frank Yang, Ziyuan Pu",10.48550/arXiv.2601.07393,2601.07393,"Modular end-to-end, Closed-Loop Evaluation, Software–Hardware co-optimization, Energy Consumption",A unified framework for optimizing ME2E autonomous driving combines software and hardware strategies to improve performance and efficiency.,42.85,3.897,167,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07395v1_MCP-ITP An Automated Framework for Implicit Tool P.pdf,Exact paper title,"Ruiqi Li, Zhiqiang Wang, Yunhao Yao, Xiang-Yang Li",lrq349,zhiqiang.wang,"Model Context Protocol, tool poisoning, implicit attacks",An automated framework for stealthy implicit tool poisoning within the MCP ecosystem.,38.05,2.917,111,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07397v1_Layerwise goal-oriented adaptivity for neural ODEs.pdf,Layerwise goal-oriented adaptivity for neural ODEs: an optimal control perspective,"Michael Hintermüller, Michael Hinze, Denis Korolev",10.1093/arxiv/2601.07397,2601.07397,"Resnet, neural ODEs, parameter identification, adaptive neural network",Proposes a novel layerwise adaptive construction method for neural network architectures.,40.59,3.277,133,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07411v1_SCALPEL Selective Capability Ablation via Low-rank.pdf,Scalpel: Selective Capability Ablation via Low-rank Parameter,"Zihao Fu, Xufeng Duan, Zhenguang G. Cai",10.48550/arXiv.2311.03655,arXiv:2311.03655,"large language models, interpretability, capability encoding","SCALPEL characterizes language model capabilities as low-rank modifications, enabling selective ablation without disrupting other functions.",43.76,3.29,144,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07422v1_Two Pathways to Truthfulness On the Intrinsic Enco.pdf,Exact paper title,"Wen Luo, Guangyue Peng, Wei Li, Shaohang Wei, Feifan Song, Liang Wang, Nan Yang, Xingxing Zhang, Jing Jin, Furu Wei, Houfeng Wang",10.1234/example.doi,12345678,"truthfulness, hallucination, LLM, knowledge boundaries",This paper explores how large language models encode truthfulness through distinct information pathways and proposes methods to detect their internal mechanisms.,42.14,4.129,174,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07430v1_KALE Enhancing Knowledge Manipulation in Large Lan.pdf,Enhancing Knowledge Manipulation in Large Language Models,"Qitan Lv1,2*, Tianyu Liu1,2*, Qiaosheng Zhang2†, Xingcheng Xu2†, Chaochao Lu2",10.48550/arXiv:2309.12345,2309.12345,"knowledge manipulation, large language models, knowledge graphs",Addressing the known-incorrect phenomenon in LLMs by leveraging knowledge graphs to improve knowledge manipulation.,43.32,3.439,149,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07449v1_RLPO Residual Listwise Preference Optimization for.pdf,Exact paper title,"Hao Jiang, Zhi Yang, Annan Wang, Yichi Zhang, Weisi Lin, Yichizhang",10.1000/arxiv:2303.01234,2303.01234,"review ranking, long-context, listwise preference, LLM",Review ranking is pivotal in e-commerce for prioritizing diagnostic and authentic feedback.,44.07,2.973,131,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07463v1_Puzzle it Out Local-to-Global World Model for Offl.pdf,Local-to-Global World Model for Offline Multi-Agent Reinforcement Learning,"Sijia Li, Xinran Li, Shibo Chen, Jun Zhang",10.1234/example.2026,not found,"Offline MARL, Multi-agent reinforcement learning, world model, policy learning",A novel local-to-global framework improves generalization in offline multi-agent reinforcement learning by leveraging local predictions.,44.24,3.142,139,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07464v1_IFDNS An Iterative Feedback-Driven Neuro-Symbolic .pdf,Exact paper title,"Xiaoheng Wang, Tongxuan Liu, Zi Gong, Xianzhe Dong, Yuting Zeng, Minhan Hu, Weizhe Huang, Jing Li",,,"Logical Reasoning, Large Language Model, Reasoning",A novel iterative feedback-driven neuro-symbolic method to improve logical reasoning in LLMs.,43.17,3.15,136,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07468v1_Beyond Dialogue Time Temporal Semantic Memory for .pdf,Exact paper title,"Miao Su1, Yucan Guo1,2,3, Zixuan Li1,2,Yufei Zhang4, Guojun Yin4, Wei Lin4, Xiaolong Jin1,2,3, Jiafeng Guo1,2,3, Xueqi Cheng1,2,3, Institute of Computing Technology, Chinese Academy of Sciences, State Key Laboratory of AI Safety, School of Computer Science, University of Chinese Academy of Sciences, Meituan",10.1000/arxiv/2601.07468,2601.07468,"Temporal Semantic Memory, Personalized LLM, Memory modeling","Memory enables Large Language Model agents to perceive, store, and use information from past dialogues, crucial for personalization. This paper addresses temporal accuracy and fragmentation in memory systems.",46.23,5.322,246,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07469v1_Knowledge Distillation for LLM-Based Human Activit.pdf,Exact paper title,"Julien Cumin, Oussama Er-Rahmany, Xi Chen",10.48550/arXiv.2601.07469,2601.07469,"Human activity recognition, large language models, knowledge distillation, smart homes, ambient intelligence","This paper presents experimental results on using large language models for human activity recognition in smart homes, highlighting performance trends with model size and knowledge distillation techniques.",44.49,3.102,138,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07470v1_Learning How to Remember A Meta-Cognitive Manageme.pdf,Learning How to Remember: A Meta-Cognitive Management Method for Structured and Transferable Agent Memory,"Sirui Liang, Pengfei Cao, Jian Zhao, Wenhao Teng, Xiangwen Liao, Jun Zhao, Kang Liu",liangsirui2024@ia.ac.cn,5,"Memory management, Meta-cognitive, Agent memory, Transfer learning",This paper introduces the Meta-CognitiveMemory Abstraction (MCMA) method to improve long-horizon decision-making in LLM agents by treating memory abstraction as a learnable skill.,45.42,3.853,175,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07474v1_Task Prototype-Based Knowledge Retrieval for Multi.pdf,Exact paper title,"Yoonmin Oh, Hyung-Il Kim, Jung Uk Kim, Juk Kim",10.48550/arXiv.2024.12345,arXiv:2409.12345,"Prototype-based knowledge retrieval, Multi-task learning, Autonomous driving, Robotics",A prototype-based knowledge retrieval framework for robust multi-task learning without relying on unlabeled task predictions.,42.98,3.118,134,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07475v1_ARCQuant Boosting NVFP4 Quantization with Augmente.pdf,Exact paper title,"Haoqian Meng, Yilun Luo, Yafei Zhao, Wenyuan Liu, Peng Zhang, Xindian Ma",10.48550/ARCQuant,arXiv:2306.01234,"NVFP4, quantization, LLM, augmented residual",Proposes ARC-Quant to boost NVFP4 performance via augmented residual channels while maintaining strict format fidelity.,43.64,3.346,146,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07477v1_JudgeFlow Agentic Workflow Optimization via Block .pdf,Exact paper title,"Zihan Ma, Zhikai Zhao, Chuanbo Hua, Federico Berto, Jinkyoo Park",10.48550/arXiv.2024.12345,12345,"LLM, agentic workflows, optimization, LLM-based",Optimizing LLM-based agentic workflows is challenging for scaling AI capabilities.,43.59,3.097,135,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07496v1_Graph Inference Towards ICD Coding.pdf,Exact paper title,Xiaoxiao Deng,10.1093/acp/qad027,I. INTRODUCTION,"graph generation, label propagation, adversarial adaptation",Automated ICD coding is reformulated as a graph generation task to improve robustness.,40.24,2.51,101,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07514v1_Data-Driven Stochastic VRP Integration of Forecast.pdf,Exact paper title,Matteo Garbellia,10.1093/acps/rpac020,2601.07514,"Stochastic VRP, Machine Learning, XGBoost, Sub-Gaussian Concentration, Multi-Objective Optimization",This paper investigates the integration of machine learning forecasts of intervention durations into a stochastic variant of the Capacitated Vehicle Routing Problem with Time Windows.,44.41,2.95,131,warm,LFM-2.5,AMD RX 6800 (Vulkan)
2601.07516v1_Controlling Multimodal Conversational Agents with .pdf,Exact paper title,"Li1, Li2, Hao Lang, Tieyun Qian, Yongbin Li, Yongqi, Hao, Lang",10.48550/arXiv/2303.04137,2303.04137,"vision-language models, multimodal agents, reinforcement learning",A method for RL fine-tuning of multimodal conversational agents using a compact latent action space and cross-modal reconstruction.,40.93,3.738,153,warm,LFM-2.5,AMD RX 6800 (Vulkan)
