filename,title,authors,doi,arxiv_id,keywords,summary,tps,model,platform
2601.07229v2_DiSCo Making Absence Visible in Intelligent Summar.pdf,DiSCo: Making Absence Visible in Intelligent Summarization Interfaces,"ERAN FAINMAN, University of Haifa, Israel, HAGIT BEN SHOSHAN, University of Haifa, Israel, ADIR SOLOMON, University of Haifa, Israel, OSNAT MOKRYN, University of Haifa, Israel",,,"Review Summarization, Absence, Expectations, Learning via surprisability, Missing commonalities","Intelligent interfaces increasingly use large language models to summarize user-generated content, yet these summaries emphasize what is mentioned while overlooking what is missing. This presence bias can mislead users who rely on summaries to make decisions. We present Domain Informed Summarization through Contrast (DiSCo), an expectation-based computational approach that makes absences visible by comparing each entity’s content with domain topical expectations captured in reference distributions of aspects typically discussed in comparable accommodations. This comparison identifies aspects that are either unusually emphasized or missing relative to domain norms and integrates them into the generated text. In a user study across three accommodation domains, namely ski, beach, and city center, DiSCo summaries were rated as more detailed and useful for decision making than baseline large language model summaries, although slightly harder to read. The findings show that modeling expectations reduces presence bias and improves both transparency and decision support in intelligent summarization interfaces.",13.61,Qwen2.5-3B,Apple M1 (Metal)
2601.07232v1_Yes FLoReNce I Will Do Better Next Time Agentic Fe.pdf,Agentic Feedback Reasoning for Humorous Meme Detection,"Olivia Shanhong Liu, Pai Chet Ng, De Wen Soh, Konstantinos N. Plataniotis",Not found,Not found,"humorous memes, agentic feedback, closed-loop reasoning, open-loop inference, prompting, multimodal","This paper proposes FLoReNce, an agentic feedback reasoning framework for detecting meme humor. It treats meme understanding as a closed-loop process during learning and an open-loop process during inference, enabling better, self-aligned reasoning without finetuning. FLoReNce improves predictive performance and explanation quality over static multimodal baselines on the PrideMM dataset.",11.77,Qwen2.5-3B,Apple M1 (Metal)
2601.07233v1_From Thinking to Justifying Aligning High-Stakes E.pdf,From “Thinking” to “Justifying”: Aligning High-Stakes Explainability with Professional Communication Standards,"Chen Qian, William & Mary, cqian03@wm.edu, Yimeng Wang, William & Mary, ywang139@wm.edu, Yu Chen, Anytime AI, ychen@anytime-ai.com, Lingfei Wu, Anytime AI, lwu@anytime-ai.com, Andreas Stathopoulos, William & Mary, axstat@wm.edu",Not found,Not found,"explainable AI, Chain-of-Thought, professional communication, legal writing, explainability metrics","Explainable AI in high-stakes domains should help stakeholders trust and verify system outputs. However, Chain-of-Thought methods reason before concluding, and logical gaps or hallucinations can yield conclusions that do not reliably align with their rationale. We propose 'Result → Justify', which constrains the output communication to present a conclusion before its structured justification. SEF operationalizes professional conventions via six metrics for structure and grounding. Experiments validate this approach: all six metrics correlate with correctness, and SEF achieves 83.9% accuracy (+5.3 over CoT). These results suggest structured justification can improve verifiability and reliability.",12.81,Qwen2.5-3B,Apple M1 (Metal)
2601.07238v1_Group Pattern Selection Optimization Let LRMs Pick.pdf,Group Pattern Selection Optimization: Let LRMs Pick the Right Pattern for Reasoning,"Hanbin Wang, Jingwei Song, Jinpeng Li, Fei Mi, Lifeng Shang",Not provided,Not provided,"Large reasoning models, reinforcement learning, pattern selection, mathematics, science, reasoning patterns","This paper introduces Group Pattern Selection Optimization (GPSO), a reinforcement learning framework that enables large reasoning models to select the most effective reasoning patterns for a given problem, thereby mitigating sub-optimality and fostering more robust and adaptable reasoning. GPSO explores a portfolio of diverse reasoning strategies and optimizes the policy on the most effective ones, enabling the model to internalize the mapping from problem characteristics to optimal reasoning patterns.",12.11,Qwen2.5-3B,Apple M1 (Metal)
2601.07239v1_Stochastic CHAOS Why Deterministic Inference Kills.pdf,"Stochas( CHAOS: Why Deterministic Inference Kills, and Distributional Variability Is the Heartbeat of Artificial Cognition","Tanmay Joshi1, Shourya Aggarwal1, Anusa Saha1, Aadi Pandey1, Shreyash Dhoot1, Vighnesh Rai1, Raxit Goswami2, Aman Chadha3, Vinija Jain4, Amitava Das1",Not found,Not found,"Large Language Models, Reproducibility, Distributio(nal Variability, Emergent Abilities, Safety Alignment","This paper argues against deterministic inference in large language models, claiming it kills the ability to model uncertainty, disrupts reasoning abilities, and renders safety alignment brittle. Instead, the authors advocate for stochastic inference, arguing that distributional variability is the heart of artificial cognition.",12.73,Qwen2.5-3B,Apple M1 (Metal)
2601.07245v1_Learning to Trust the Crowd A Multi-Model Consensu.pdf,Learning to Trust the Crowd: A Multi-Model Consensus Reasoning Engine for Large Language Models,Pranav Kallem,,,"Large Language Models, Reliability, Multi-Model Consensus, Consensus Reasoning Engine, Gradient-Boosted Trees, Listwise Ranking, Graph Neural Networks","The study investigates the reliability of large language models (LLMs) through multi-model consensus. Given responses from several heterogeneous LLMs, the system learns which answer is most likely correct for a given query. The system maps natural language responses into structured features using semantic embeddings, pairwise similarity and clustering statistics, lexical and structural cues, reasoning-quality scores, confidence estimates, and model-specific priors. The best graph-attention-based consensus model improves macro-average accuracy by 4.6 percentage points over the strongest single LLM and by 8.1 points over majority vote, while also yielding lower Brier scores and fewer hallucinations.",12.95,Qwen2.5-3B,Apple M1 (Metal)
2601.07250v1_DDT A Dual-Masking Dual-Expert Transformer for Ene.pdf,DDT: A Dual-Masking Dual-Expert Transformer for Energy Time-Series Forecasting,"Mingnan Zhu, Qixuan Zhang, Yixuan Cheng, Fangzhou Gu, Shiming Lin",Not found,Not found,"Time-Series Forecasting, Multivariate Temporal Modeling, Dynamic-Causal Masking, Adaptive Feature Fusion","Accurate energy time-series forecasting is crucial for ensuring grid stability and promoting the integration of renewable energy. DDT, a novel and robust deep learning framework, addresses these challenges through a dual-masking mechanism and a dual-expert system, demonstrating superior performance across multiple benchmarks.",12.02,Qwen2.5-3B,Apple M1 (Metal)
2601.07261v1_Pseudodata-guided Invariant Representation Learnin.pdf,Pseudodata-guided Invariant Representation Learning Boosts the Out-of-Distribution Generalization in Enzymatic Kinetic Parameter Prediction,"Haomin Wu, Zhiwei Nie, Hongyu Zhang, Zhixiang Ren",Not provided,2601.07261,"Enzyme kinetics, Deep learning, Out-of-distribution, Invariant representation, Perturbation augmentation","This paper proposes O 2DENet, a lightweight module that enhances out-of-distribution generalization in enzyme–substrate interaction predictors, improving accuracy and robustness across stringent sequence-identity-based benchmarks.",13.74,Qwen2.5-3B,Apple M1 (Metal)
2601.07263v1_When Bots Take the Bait Exposing and Mitigating th.pdf,When Bots Take the Bait: Exposing and Mitigating the Emerging Social Engineering Attack in Web Automation Agent,"Xinyi Wu†, Geng Hong †B, Yueyue Chen†, MingXuan Liu §, Feier Jin †, Xudong Pan †‡, Jiarun Dai †, Baojun Liu ¶",Not provided,Not provided,"Web automation, Social engineering, Web agents, Large language models, Runtime mitigation","This paper presents the first systematic study of social engineering attacks against web automation agents and designs a pluggable runtime mitigation solution. It introduces the AGENTBAIT paradigm and proposes SUPERVISOR, a lightweight runtime module to enforce environment and intention consistency alignment. Empirical results show that mainstream frameworks are highly vulnerable to AGENTBAIT, with an average attack success rate of 67.5% and peaks above 80% under specific strategies. The proposed module can reduce attack success rates by up to 78.1% while incurring only a 7.7% runtime overhead and preserving usability.",12.71,Qwen2.5-3B,Apple M1 (Metal)
2601.07291v1_A Visual Semantic Adaptive Watermark grounded by P.pdf,A Visual Semantic Adaptive Watermark grounded by Prefix-Tuning for Large Vision-Language Model,"Qi Zheng, Shuliang Liu, Yu Huang, Sihang Jia, Jungang Li, Lyuhao Chen, Junhao Chen, Hanqian Li, Aiwei Liu, Yibo Yan, Xuming Hu",Not found,Not found,"Watermarking, Large Vision-Language Model, Prefix-Tuning, Visual Evidence, Semantic Fidelity, Inference Efficiency","Watermarking has emerged as a pivotal solution for content traceability and intellectual property protection in Large Vision-Language Models (LVLMs). However, vision-agnostic watermarks introduce visually irrelevant tokens and disrupt visual grounding by enforcing indiscriminate pseudo-random biases, while some semantic-aware methods incur prohibitive inference latency due to rejection sampling. This paper proposes the Visual Semantic Adaptive Watermark (VISA-Mark), a novel framework that embeds detectable signals while strictly preserving visual fidelity. Our approach employs a lightweight, efficiently trained prefix-tuner to extract dynamic Visual Evidence Weights, which guide an adaptive vocabulary partitioning and logits perturbation mechanism, concentrating watermark strength specifically on visually-supported tokens. By actively aligning the watermark with visual evidence, VISA-Mark effectively maintains visual fidelity and outperforms conventional methods in terms of visual consistency and semantic fidelity.",12.73,Qwen2.5-3B,Apple M1 (Metal)
2601.07292v1_Photometric Redshift Estimation Using Scaled Ensem.pdf,Photometric Redshift Estimation Using Scaled Ensemble Learning,"Swagata Biswas, Shubhrangshu Ghosh, Avyarthana Ghosh, Yogesh Wadadekar, Abhishek Roy Choudhury, Arijit Mukherjee, Shailesh Deshpande, Arpan Pal",,,"Galaxies, High-redshift galaxies, Redshift surveys, Neural networks","The study presents a new ensemble-based ML framework aimed at predicting photometric redshifts (Pz) for faint galaxies and higher redshift ranges, relying solely on optical (grizy) photometric data. The proposed architecture integrates several learning algorithms, including gradient boosting machine, extreme gradient boosting, k-nearest neighbors, and artificial neural networks, within a scaled ensemble structure. The framework demonstrates consistent accuracy in estimating redshifts, maintaining strong performance up to z ∼ 4. The model is validated using publicly available data from the Hyper Suprime-Cam Strategic Survey Program by the Subaru Telescope. Our results show marked improvements in the precision and reliability of Pz estimation.",12.52,Qwen2.5-3B,Apple M1 (Metal)
2601.07296v1_LRAS Advanced Legal Reasoning with Agentic Search.pdf,LRAS: Advanced Legal Reasoning with Agentic Search,"Yujin Zhou, Chuxue Cao, Jinluan Yang, Lijun Wu, Conghui He, Sirui Han, Yike Guo",,,"Legal Reasoning, Agentic Search, Introspective Imitation Learning, Difficulty-aware Reinforcement Learning","Presenting LRAS, the first framework designed to transition legal LLMs from static and parametric 'closed-loop thinking' to dynamic and interactive 'Active Inquiry'. By integrating Introspective Imitation Learning and Difficulty-aware Reinforcement Learning, LRAS enables LRMs to identify knowledge boundaries and handle legal reasoning complexity, outperforming state-of-the-art baselines by 8.2-32%.",11.83,Qwen2.5-3B,Apple M1 (Metal)
2601.07304v1_Heterogeneous Multi-Expert Reinforcement Learning .pdf,Heterogeneous Multi-Expert Reinforcement Learning for Long-Horizon Multi-Goal Tasks in Autonomous Forklifts,"Yun Chen, Bowei Huang, Fan Guo, Kang Song",,,"Autonomous Forklift, Hierarchical Reinforcement Learning, Mobile Manipulation, Hybrid Training, Modality Decoupling","Proposes a Heterogeneous Multi-Expert Reinforcement Learning (HMER) framework tailored for autonomous forklifts, decomposing long-horizon tasks into specialized sub-policies controlled by a Semantic Task Planner to separate navigation and manipulation, improving task success rate and reducing operation time.",11.73,Qwen2.5-3B,Apple M1 (Metal)
2601.07309v1_ARM Role-Conditioned Neuron Transplantation for Tr.pdf,Agent-Role Merging: Role-Conditioned Neuron Transplantation for Training-Free Generalist LLM Agent Merging,"Zhuoka Feng, Kang Chen, Sihan Zhao, Kai Xiong, Yaoning Wang, Minshen Yu, Junjie Nian, Changyi Xiao, Yixin Cao, Yugang Jiang",Not found,2601.07309,"large language model, agent merging, neuron transplantation, cross-environment robustness","This paper proposes Agent-Role Merging (ARM), a training-free method for integrating multiple experts into a single large language model agent. ARM improves cross-environment robustness by integrating role-conditioned activation analysis and neuron transplantation, achieving strong out-of-domain generalization without gradient-based optimization.",13.06,Qwen2.5-3B,Apple M1 (Metal)
2601.07313v1_Explaining Machine Learning Predictive Models thro.pdf,Explaining Machine Learning Predictive Models through Conditional Expectation Methods,"Silvia Ruiz-Espa˜ naa, Laura Arnal, Francois Signola, Juan-Carlos Perez-Cortes, Joaquim Arlandis",Not found,Not found,"machine learning, XAI, explainable models, local explainability, model-agnostic, uncertainty, stability","The rapid adoption of complex artificial intelligence and machine learning models has led to their characterization as black boxes due to the difficulty of explaining their internal decision-making processes. This lack of transparency hinders users' ability to understand, validate, and trust model behavior, particularly in high-risk applications. This work introduces Multivariate Conditional Expectation (MUCE), a model-agnostic method for local explainability designed to capture prediction changes from feature interactions. MUCE extends Individual Conditional Expectation (ICE) by exploring a multivariate grid of values in the neighborhood of a given observation at inference time, providing graphical explanations that illustrate the local evolution of model predictions. In addition, two quantitative indices, stability and uncertainty, summarize local behavior and assess model reliability. Uncertainty is further decomposed into uncertainty + and uncertainty − to capture asymmetric effects that global measures may overlook. The proposed method is validated using XGBoost models trained on three datasets: two synthetic (2D and 3D) to evaluate behavior near decision boundaries, and one transformed real-world dataset to test adaptability to heterogeneous feature types. Results show that MUCE effectively captures complex local model behavior, while the stability and uncertainty indices provide meaningful insight into prediction confidence. MUCE, together with the ICE modification and the proposed indices, offers a practical contribution to local explainability, enabling both graphical and quantitative insights that enhance the interpretability of predictive models and support more trustworthy and transparent decision-making.",13.83,Qwen2.5-3B,Apple M1 (Metal)
2601.07315v1_VLM-CAD VLM-Optimized Collaborative Agent Design W.pdf,VLM-CAD:VLM-OptimizedCollaborativeAgent Design Workflow for Analog Circuit Sizing,"1st Guanyuan Pan, 2nd Yugui Lin, 3rd Tiansheng Zhou, 4th Pietro Li `o, 5th Shuai Wang, 6th Yaqi Wang*",,,"Analog Circuit Sizing, Agentic AI, Vision Language Model, Explainability, Electronic Design Automation","Analog mixed-signal circuit sizing involves complex trade-offs within high-dimensional design spaces. Existing automatic analog circuit sizing approaches often underutilize circuit schematics and lack the explainability required for industry adoption. To tackle these challenges, we propose a Vision Language Model-optimized collaborative agent design workflow (VLM-CAD), which analyzes circuits, optimizes DC operating points, performs inference-based sizing and executes external sizing optimization. We integrate Image2Net to annotate circuit schematics and generate a structured JSON description for precise interpretation by Vision Language Models. Furthermore, we propose an Explainable Trust Region Bayesian Optimization method (ExTuRBO) that employs collaborative warm-starting from agent-generated seeds and offers dual-granularity sensitivity analysis for external sizing optimization, supporting a comprehensive final design report. Experiment results on amplifier sizing tasks using 180nm, 90nm, and 45nm Predictive Technology Models demonstrate that VLM-CAD effectively balances power and performance, achieving a 100% success rate in optimizing an amplifier with a complementary input and a class-AB output stage, while maintaining total runtime under 43 minutes across all experiments.",13.43,Qwen2.5-3B,Apple M1 (Metal)
2601.07316v1_BEAT-Net Injecting Biomimetic Spatio-Temporal Prio.pdf,BEAT-Net: Injecting Biomimetic Spatio-Temporal Priors for Interpretable ECG Classification,"Ma Runze, Liao Caizhi ∗",Not found,2601.07316,"ECG classification, deep learning, biomimetic priors, attention mechanisms, self-supervised learning","Proposes BEAT-Net, a framework that reformulates ECG analysis as a language modeling task, using QRS tokenization to transform continuous signals into biologically aligned heartbeat sequences. The architecture explicitly decomposes cardiac physiology through specialized encoders, improving diagnostic accuracy and robustness compared to dominant CNN architectures.",12.44,Qwen2.5-3B,Apple M1 (Metal)
2601.07320v1_Segmental Advantage Estimation Enhancing PPO for L.pdf,Segmental Advantage Estimation: Enhancing PPO for Long-Context LLM Training,"Xue Gong, Qi Yi, Ziyuan Nan, Guanhua Huang, Kejiao Li, Yuhao Jiang, Ruibin Xiong, Zenan Xu, Jiaming Guo, Shaohui Peng, Bo Zhou",Not provided,Not provided,"Large Language Models, Reinforcement Learning, Proximal Policy Optimization, Advantage Estimation, Sparse Rewards, Generalized Advantage Estimation, Segmental Advantage Estimation","Training Large Language Models for reasoning tasks is increasingly driven by Reinforcement Learning with Verifiable Rewards (RLVR), where Proximal Policy Optimization (PPO) provides a principled framework for stable policy updates. However, the practical application of PPO is hindered by unreliable advantage estimation in the sparse-reward RLVR regime. This issue arises because the sparse rewards in RLVR lead to inaccurate intermediate value predictions, which in turn introduce significant bias when aggregated at every token by Generalized Advantage Estimation (GAE). To address this, we introduce Segmental Advantage Estimation (SAE), which mitigates the bias that GAE can incur in RLVR. Our key insight is that aggregating n-step advantages at every token (as in GAE) is unnecessary and often introduces excessive bias, since individual tokens carry minimal information. Instead, SAE first partitions the generated sequence into coherent sub-segments using low-probability tokens as heuristic boundaries. It then selectively computes variance-reduced advantage estimates only from these information-rich segment transitions, effectively filtering out noise from intermediate tokens. Our experiments demonstrate that SAE achieves superior performance, with marked improvements in final scores, training stability, and sample efficiency.",13.59,Qwen2.5-3B,Apple M1 (Metal)
2601.07342v1_Agentic Diagnostic Reasoning over Telecom and Data.pdf,Agentic Diagnostic Reasoning over Telecom and Datacenter Infrastructure,Nicolas Tacheny,Not found,2601.07342,"Large Language Model, Telecom Infrastructure, Datacenter, Root Cause Analysis, Impact Analysis, Autonomous Incident Resolution, Change Impact Mitigation","This work introduces an agentic diagnostic framework where a Large Language Model autonomously navigates a telecom and datacenter infrastructure model using a constrained tool-space, enabling autonomous incident resolution and change impact mitigation.",12.39,Qwen2.5-3B,Apple M1 (Metal)
2601.07344v1_PulseMind A Multi-Modal Medical Model for Real-Wor.pdf,PulseMind: A Multi-Modal Medical Model for Real-World Clinical Diagnosis,"Jiao Xu, Junwei Liu, Jiangwei Lao, Qi Zhu, Yunpeng Zhao, Congyun Jin, Shinan Liu, Zhihong Lu, Lihe Zhang, Xin Chen, Jian Wang, Ping Wang",,,"Medical model, Multi-modal, Clinical diagnosis, Real-world, PulseMind, Reinforcement Policy Optimization, Multi-turn consultation, Diagnostic benchmark","PulseMind introduces a new family of multi-modal diagnostic models that integrate a curated dataset, a comprehensive evaluation benchmark, and a tailored training framework. It addresses the complexity of real-world clinical diagnostics by incorporating heterogeneous inputs and ongoing contextual understanding during patient-physician interactions.",11.93,Qwen2.5-3B,Apple M1 (Metal)
2601.07348v4_Controlled Self-Evolution for Algorithmic Code Opt.pdf,Controlled Self-Evolution for Algorithmic Code Optimization,"Tu Hu, Ronghao Chen, Shuo Zhang, Jianghao Yin, Mou Xiao Feng, Jingping Liu, Shaolei Zhang, Wenqi Jiang, Yuqi Fang, Sen Hu, Huacan Wang, Yi Xu",Not found,2601.07348,"algorithmic code optimization, self-evolution, controlled evolution, stochastic operations, experience reuse","This paper proposes Controlled Self-Evolution (CSE) to improve exploration efficiency in self-evolution methods for algorithmic code optimization. CSE consists of diversified planning initialization, genetic evolution with feedback-guided mechanisms, and hierarchical evolution memory. Experiments on EffiBench-X demonstrate that CSE consistently outperforms baselines across various large language model backbones.",13.7,Qwen2.5-3B,Apple M1 (Metal)
2601.07351v2_Beyond Hard Masks Progressive Token Evolution for .pdf,Beyond Hard Masks: Progressive Token Evolution for Diffusion Language Models,"Linhao Zhong1*, Linyu Wu2*, Bozhen Fang1, Tianjian Feng1, Chenchen Jing1,3, Wen Wang1, Jiaheng Zhang2, Hao Chen1, Chunhua Shen1,3†",Not provided,Not provided,"Diffusion Language Models, Progressive Token Evolution, Soft Token Distribution, Continuous Trajectory Supervision","This paper proposes EvoToken-DLM, a novel diffusion-based language modeling approach that replaces hard binary masks with evolving soft token distributions. It enables a progressive transition from masked states to discrete outputs, supporting revisable decoding. The authors introduce continuous trajectory supervision to effectively support this evolution and demonstrate that EvoToken-DLM consistently achieves superior performance compared to strong diffusion-based and masked DLM baselines.",11.61,Qwen2.5-3B,Apple M1 (Metal)
2601.07356v1_Efficient Convolutional Forward Model for Passive .pdf,Efficient Convolutional Forward Model for Passive Acoustic Mapping and Temporal Monitoring,"Tatiana Gelvez-Barrera, Barbara Nicolas, Bruno Gilles, Adrian Basarab, Denis Kouamé",Not found,Not found,"Passive Acoustic Mapping, Model-based beamforming, Convolutional forward model, Temporal monitoring","Passive acoustic mapping (PAM) is a key imaging technique for characterizing cavitation activity in therapeutic ultrasound applications. Recent model-based beamforming algorithms offer high reconstruction quality and strong physical interpretability. However, their computational burden and limited temporal resolution restrict their use in applications with time-evolving cavitation. This paper introduces a PAM beamforming framework based on a novel convolutional formulation in the time domain, which enables efficient computation. The framework formulates PAM as an inverse problem, incorporating prior knowledge on cavitation activity, and demonstrates superior performance compared to classical beamforming methods.",12.03,Qwen2.5-3B,Apple M1 (Metal)
