title,authors,doi,arxiv_id,keywords,processing_time_ms,filename
M2FMoE: Multi-Resolution Multi-View Frequency Mixture-of-Experts for,"laeeq aslam, Laeeq Aslam, Ruipeng Dong, Runmin Zou",None,arXiv:2601.08631,,45.92251777648926,2601.08631v1_M2FMoE Multi-Resolution Multi-View Frequency Mixtu.pdf
Human-AI Co-design for Clinical Prediction Models,"Yan Shuo Tan2, Andrew Bishara1, Patrick Vossler1, Avni Kothari1",None,arXiv:2601.09072,"Large language models, Electronic health records, Concept Bottleneck, Human-AI Interaction
1",44.49009895324707,2601.09072v1_Human-AI Co-design for Clinical Prediction Models.pdf
Antisocial behavior towards large language model users: experimental evidence,"Paweł Niszczota, Cassandra Grützner, Große Steinstraße",None,None,,42.19245910644531,2601.09772v1_Antisocial behavior towards large language model u.pdf
PRL: Process Reward Learning Improves LLMs’ Reasoning Ability,"Ruida Wang*, Tong Zhang, Jiarui Yao*",None,arXiv:2601.10201,,44.30389404296875,2601.10201v1_PRL Process Reward Learning Improves LLMs Reasonin.pdf
TAG-MoE: Task-Aware Gating for Unified Generative Mixture-of-Experts,"Yu Xu1,2†, Jintao Li1
Chunyu Wang2‡
Qinglin, Zijin Yin2
Shiyi, Makoto Niitsu",None,arXiv:2601.08881,,51.85413360595703,2601.08881v1_TAG-MoE Task-Aware Gating for Unified Generative M.pdf
How Clinicians Think—and What AI Can Learn From,"Saumya Panda, Dipayan Sengupta, 1Consultant Dermatologist",None,arXiv:2601.12547,,45.37773132324219,2601.12547v1_How Clinicians Think and What AI Can Learn From It.pdf
SCULPT: Constraint-Guided Pruned MCTS that Carves Efficient Paths for,"Monte Carlo
Tree Search, Qitong Fang",None,arXiv:2601.12842,,45.84693908691406,2601.12842v1_SCULPT Constraint-Guided Pruned MCTS that Carves E.pdf
torch-sla: Differentiable Sparse Linear Algebra with,"Mingyuan Chi, Jasak et al.",None,arXiv:2601.13994,,45.35698890686035,2601.13994v1_torch-sla Differentiable Sparse Linear Algebra wit.pdf
Efficient Convolutional Forward Model for Passive,"Barbara Nicolas, Bruno Gilles",None,arXiv:2601.07356,,40.407419204711914,2601.07356v1_Efficient Convolutional Forward Model for Passive .pdf
Towards Specialized Generalists: A Multi-Task,"Aoxiong Zeng, Xiangquan Yang, Yuxin Yang",None,arXiv:2601.07935,,44.744014739990234,2601.07935v1_Towards Specialized Generalists A Multi-Task MoE-L.pdf
Defending Large Language Models Against Jailbreak Attacks via,"Yifei Zhang
Northeastern University, Daling Wang, Ming Wang, Shi Feng*",None,arXiv:2601.10543,,43.59102249145508,2601.10543v1_Defending Large Language Models Against Jailbreak .pdf
Active Evaluation of General Agents: Problem,"Ian Gemp, Baseline Algorithms
Marc Lanctot, Kate Larson, Michael Kaisers",None,arXiv:2601.07651,"general evaluation, multitask evaluation, ranking, active learning, game theory",43.749332427978516,2601.07651v1_Active Evaluation of General Agents Problem Defini.pdf
OpenMic: A Multi-Agent-Based Stand-Up Comedy Generation System,"Yufei Li 1
Abstract",None,arXiv:2601.08288,,45.857906341552734,2601.08288v1_OpenMic A Multi-Agent-Based Stand-Up Comedy Genera.pdf
"LIME-LLM: Probing Models with Fluent Counterfactuals,","Ribeiro et al., Mark V. Albert, Poli Nemkova, Angiulli et al.",None,arXiv:2601.11746,,43.72453689575195,2601.11746v1_LIME-LLM Probing Models with Fluent Counterfactual.pdf
HardSecBench: Benchmarking the Security Awareness of LLMs for Hardware,"Verilog Register, Jun Chen4, Zijian Wen1, Jie Jin3",None,arXiv:2601.13864,,44.88801956176758,2601.13864v1_HardSecBench Benchmarking the Security Awareness o.pdf
LatentRefusal: Latent-Signal Refusal for Unanswerable Text-to-SQL,"Xuancheng Ren
Shijing Hu
Zhihui Lu, Jiangqi Huang
Fudan",None,arXiv:2601.10398,,43.669939041137695,2601.10398v2_LatentRefusal Latent-Signal Refusal for Unanswerab.pdf
AtomMem : Learnable Dynamic Agentic Memory,"Haotian Chen2, Yankai Lin1, learn-
ing, Atomic Memory Operation",None,arXiv:2601.08323,,45.668840408325195,2601.08323v1_AtomMem  Learnable Dynamic Agentic Memory with Ato.pdf
sui-1: Grounded and Verifiable,,None,arXiv:2601.08472,,43.67351531982422,2601.08472v1_sui-1 Grounded and Verifiable Long-Form Summarizat.pdf
LLMdoctor: Token-Level Flow-Guided Preference Optimization,"Jin Wang2, Rui Mao1",None,arXiv:2601.10416,,41.14985466003418,2601.10416v1_LLMdoctor Token-Level Flow-Guided Preference Optim.pdf
SuS: Strategy-aware Surprise for Intrinsic Exploration,"learn-
ing, Strategy Surprise",None,arXiv:2601.10349,"intrinsic motivation, reinforcement learn-
ing, contrastive learning, exploration
Code:
https://github.com/mariklolik/
sus
1",41.72682762145996,2601.10349v1_SuS Strategy-aware Surprise for Intrinsic Explorat.pdf
"From 100,000+ images to winning the first brain MRI foundation model","Jaume Banus2†, Pedro M. Gordaliza1,2,†, Maxence Wynen3,4, Universite Catholique de 
Louvain",None,None,,42.61660575866699,2601.13166v1_From 100000 images to winning the first brain MRI .pdf
"H-AIM: Orchestrating LLMs, PDDL, and Behavior Trees for Hierarchical",,None,arXiv:2601.11063,,42.00387001037598,2601.11063v1_H-AIM Orchestrating LLMs PDDL and Behavior Trees f.pdf
Is More Context Always Better? Examining LLM Reasoning,"Luyi Ma, Jianpeng Xu, Global Tech, Sinduja Subramaniam",10.1145/XXXXXX.XXXXXX,arXiv:2601.10132,"Large Language Models, Temporal Reasoning, Inter-Purchase In-
terval Prediction
ACM Reference Format:
Yanan Cao, Farnaz Fallahi, Murali Mohana Krishna Dandu",42.62852668762207,2601.10132v1_Is More Context Always Better Examining LLM Reason.pdf
SwiftMem: Fast Agentic Memory via Query-aware Indexing,"Li 1, Anxin Tian 1, Lei Chen 1 Xianzhi Yu 1, Zhenhua Dong 1",None,arXiv:2601.08160,,44.013261795043945,2601.08160v1_SwiftMem Fast Agentic Memory via Query-aware Index.pdf
The AI Genie Phenomenon and Three Types of AI Chatbot Addiction: Escapist,JESSICA HUANG,None,arXiv:2601.13348,,44.88492012023926,2601.13348v1_The AI Genie Phenomenon and Three Types of AI Chat.pdf
MATE: MATRYOSHKA AUDIO–TEXT EMBEDDINGS FOR OPEN-VOCABULARY,"keyword cues, Jaeyoung Roh, Yong-Hyeok Lee, Youngmoon Jung",None,arXiv:2601.14012,,49.82638359069824,2601.14012v1_MATE Matryoshka Audio-Text Embeddings for Open-Voc.pdf
Policy-Based Deep Reinforcement Learning Hyperheuristics for Job-Shop Scheduling,"Stefan Lier, Andreas Schwung, Asrat Gobachew",None,arXiv:2601.11189,"Hyper-heuristics, Job Shop Scheduling, Policy-based Reinforcement learning, Petri nets, 1.",38.61498832702637,2601.11189v1_Policy-Based Deep Reinforcement Learning Hyperheur.pdf
CD2: Constrained Dataset Distillation for Few-Shot Class-Incremental Learning,"Yong Li1, Hansong Zhang1,2, Yutao Yue3, Daichi Zhang1,2†",None,arXiv:2601.08519,,41.0151481628418,2601.08519v1_CD2 Constrained Dataset Distillation for Few-Shot .pdf
MirrorGuard: Toward Secure Computer-Use Agents via,"Jiarun Dai
Fudan, Yulin Shen, Xudong Pan*, Geng Hong
Fudan",None,arXiv:2601.12822,"Computer Use Agents, Agent Security, Reasoning Correction, Sim-
ulation, Vision-Language Models
ACM Reference Format:
Wenqi Zhang",42.992591857910156,2601.12822v1_MirrorGuard Toward Secure Computer-Use Agents via .pdf
Human Emotion Verification by Action Languages,,10.1017/xxxxx,arXiv:2601.12912,"Action Languages, Answer Set Programming, Theory of Mind.
1",46.23293876647949,2601.12912v1_Human Emotion Verification by Action Languages via.pdf
"A Safety Report on GPT-5.2, Gemini 3 Pro, Qwen3-VL, Grok 4.1 Fast,","Grok 4.1 Fast, Nano Banana Pro, Wei Cheng
Jingjing Chen1
Zuxuan, Yingshui Tan Yunhao Chen1
Hui Xue Xin",None,arXiv:2601.10527,,42.67621040344238,2601.10527v2_A Safety Report on GPT-5.2 Gemini 3 Pro Qwen3-VL G.pdf
PrivacyReasoner: Can LLM Emulate a Human-like Privacy Mind?,"Lianhui Qin, Haojian Jin
University, Yiwen Tu, Xuan Liu",None,arXiv:2601.09152,,44.99197006225586,2601.09152v1_PrivacyReasoner Can LLM Emulate a Human-like Priva.pdf
Fairness in Healthcare Processes: A Quantitative,"Jl Telekomunikasi 1, Rudower Chaussee 25, Stephan A. Fahrenkrog-Petersen2,3",None,arXiv:2601.11065,"process mining · fairness · triage · emergency room.
1",42.705535888671875,2601.11065v1_Fairness in Healthcare Processes A Quantitative An.pdf
Resisting Manipulative Bots in Memecoin Copy Trading: A,"Jiahua Xu, Yang Liu, Yichen Luo",None,arXiv:2601.08641,,42.8318977355957,2601.08641v1_Resisting Manipulative Bots in Memecoin Copy Tradi.pdf
GeoRA: Geometry-Aware Low-Rank Adaptation for RLVR,"Jiguo Li1, Jinghua Hao1, Jun Xu1‡, Lei Shi1*",None,arXiv:2601.09361,,45.206308364868164,2601.09361v1_GeoRA Geometry-Aware Low-Rank Adaptation for RLVR.pdf
VIRO: Robust and Efficient Neuro-Symbolic Reasoning with Verification for,Efficient Neuro-Symbolic Reasoning,None,arXiv:2601.12781,,44.10529136657715,2601.12781v1_VIRO Robust and Efficient Neuro-Symbolic Reasoning.pdf
DARC: Decoupled Asymmetric Reasoning Curriculum for LLM Evolution,"Yankai Lin1†, Xuyan Ye1∗",None,arXiv:2601.13761,,42.49167442321777,2601.13761v1_DARC Decoupled Asymmetric Reasoning Curriculum for.pdf
ButterflyMoE: Sub-Linear Ternary Experts via Structured Butterfly,Aryan Karmore,None,arXiv:2601.13563,,44.79360580444336,2601.13563v1_ButterflyMoE Sub-Linear Ternary Experts via Struct.pdf
ARCQuant: Boosting NVFP4 Quantization with Augmented Residual,"Wenyuan Liu1, Yilun Luo1, Large Language Model, Yafei Zhao1",None,arXiv:2601.07475,,44.4483757019043,2601.07475v1_ARCQuant Boosting NVFP4 Quantization with Augmente.pdf
Query Languages for Machine-Learning Models,"Nicole Schweikardt, Erich Grädel, Martin Grohe #
RWTH Aachen University, Jan Van",None,arXiv:2601.09381,"and phrases Expressive power of query languages, fixed-point logics, weighted structures, neural networks, explainable AI
Funding Funded by the European Union (ERC",42.70339012145996,2601.09381v1_Query Languages for Machine-Learning Models.pdf
Look-Ahead-Bench: a Standardized Benchmark of Look-ahead Bias in,a Standardized Benchmark,None,arXiv:2601.13770,,46.47517204284668,2601.13770v1_Look-Ahead-Bench a Standardized Benchmark of Look-.pdf
AGENCYBENCH: Benchmarking the Frontiers of Autonomous,"Pengfei Liu†1,2,4
1SII, Keyu Li1,2,4
Junhao, Mohan Jiang1,2,4
Jie",None,arXiv:2601.11044,,42.9072380065918,2601.11044v2_AgencyBench Benchmarking the Frontiers of Autonomo.pdf
YaPO: Learnable Sparse Activation Steering Vectors for Domain,"Abdelaziz Bounhar1,∗, Guokan Shang1,∗
1MBZUAI, Rania Hossam Elmohamady Elbadry1, neuron multi-semanticity",None,arXiv:2601.08441,,42.04726219177246,2601.08441v1_YaPO Learnable Sparse Activation Steering Vectors .pdf
LARGE LANGUAGE MODELS STRUGGLE WITH ETHNOGRAPHIC,"Leonardo S. Goodall†, Harvey Whitehouse
Centre, Daniel Austin Mullins",None,arXiv:2601.12099,"large language models, ethnographic text
annotation, cross-cultural research, anthropology",43.820858001708984,2601.12099v1_Large language models struggle with ethnographic t.pdf
Understanding and Preserving Safety in Fine-Tuned LLMs,"Dan Li, Kejia Chen
Zhejiang, Jiawen Zhang, Jiachen Ma",None,arXiv:2601.10141,,44.4643497467041,2601.10141v1_Understanding and Preserving Safety in Fine-Tuned .pdf
Zhanming Shen 1 2 Jiaqi Hu 1 2 Zeyu Qin 3 Hao Chen 1 Wentao Ye 1 2 Zenan Huang 2 Yihong Zhuang 2,"Zenan Huang 2, Guoshan Lu 2 Junlin Zhou 2, Jiaqi Hu 1 2 Zeyu Qin, Hao Chen 1 Wentao Ye",None,arXiv:2601.10348,,46.51141166687012,2601.10348v1_Training-Trajectory-Aware Token Selection.pdf
What If TSF: A Benchmark for Reframing Forecasting,Kyubyung Chae,None,arXiv:2601.08509,,41.2449836730957,2601.08509v1_What If TSF A Benchmark for Reframing Forecasting .pdf
From RAG to Agentic RAG for Faithful Islamic Question Answering,"Mutaz Al-Khatib4, Kareem Darwish1, Hamdy Mubarak1, Rashid Yahiaoui2",None,arXiv:2601.07528,,48.88916015625,2601.07528v1_From RAG to Agentic RAG for Faithful Islamic Quest.pdf
Bi-Attention HateXplain : Taking into account the sequential aspect,Dorian Tchuente,None,arXiv:2601.13018,"Multitask learning · Deep Learning · Hate speech · Explainability · Bi-Attention
Warning : This article contains material that many will find offensive or hateful, however, this is unavoid-
able given the nature of the work. 1
1",42.77944564819336,2601.13018v1_Bi-Attention HateXplain  Taking into account the s.pdf
Motion Attribution for Video Generation,Laura Leal-Taixé1,None,arXiv:2601.08828,,42.83857345581055,2601.08828v1_Motion Attribution for Video Generation.pdf
Bridging Semantic Understanding and Popularity Bias with LLMs,"Yupeng Gao, Jiaying Liu, Mingliang Hou, Zhe Wang
Jilin University",None,arXiv:2601.09478,"Semantic analysis, Recommender systems, Algorithmic fairness, Popularity bias, LLM
ACM Reference Format:
Renqiang Luo",40.80653190612793,2601.09478v3_Bridging Semantic Understanding and Popularity Bia.pdf
SCALPEL: Selective Capability Ablation via Low-rank Parameter,"Zhenguang G. Cai, Xufeng Duan",None,arXiv:2601.07411,,37.62507438659668,2601.07411v1_SCALPEL Selective Capability Ablation via Low-rank.pdf
Fairness or Fluency? An Investigation into Language Bias of Pairwise,"Zheng Luo1*, Yue Zhao1, Ruishan Liu1, Xiaolin Zhou1",None,arXiv:2601.13649,,48.26760292053223,2601.13649v1_Fairness or Fluency An Investigation into Language.pdf
Difficulty-guided Sampling: Bridging the Target Gap,"Miki Haseyamaa, Jiafeng Maoc, Mingzhuo Lia, Linfeng Yeb",None,arXiv:2601.10090,,39.868831634521484,2601.10090v1_Difficulty-guided Sampling Bridging the Target Gap.pdf
Style Transfer as Bias Mitigation: Diffusion Models for,Style Transfer,None,arXiv:2601.14124,,36.5598201751709,2601.14124v1_Style Transfer as Bias Mitigation Diffusion Models.pdf
Moonworks Lunara Aesthetic Dataset,"Sabit Hassan
Moonworks, Yan Wang, Partho Hassan",None,arXiv:2601.07941,,41.667938232421875,2601.07941v2_Moonworks Lunara Aesthetic Dataset.pdf
HateXScore: A Metric Suite for Evaluating Reasoning Quality in,"Hee et al., Roy Ka-Wei Lee, Yujia Hu, Vidgen et al.",None,arXiv:2601.13547,,44.07048225402832,2601.13547v1_HateXScore A Metric Suite for Evaluating Reasoning.pdf
MMPG: MoE-based Adaptive Multi-Perspective Graph Fusion for,"Jialun Shen2*, Zixing Song5, Changshuo Wang4, Shiyin Tan2",None,arXiv:2601.10157,,42.0374870300293,2601.10157v1_MMPG MoE-based Adaptive Multi-Perspective Graph Fu.pdf
Pervasive Annotation Errors Break Text-to-SQL Benchmarks and,"Tengjun Jin
University, Daniel Kang
University, Yuxuan Zhu
University",None,arXiv:2601.08778,,46.10586166381836,2601.08778v3_Pervasive Annotation Errors Break Text-to-SQL Benc.pdf
Advancing Model Refinement: Muon-Optimized Distillation,"Advancing Model Refinement, Venkat R. Dasari, Brian Jalaian",None,arXiv:2601.09865,,36.44561767578125,2601.09865v1_Advancing Model Refinement Muon-Optimized Distilla.pdf
GIFT: Unlocking Global Optimality in Post-Training via,"Peng Pei2, Yizhen Jiang1,2, Haoze Sun2, Lu Ma1,∗",None,arXiv:2601.09233,,40.14325141906738,2601.09233v1_GIFT Unlocking Global Optimality in Post-Training .pdf
A Novel Contrastive Loss for Zero-Day Network,"Jack Wilkie, Hanan Hindy, Craig Michie, James Irvine",10.1109/TNSM.2026.3652529,arXiv:2601.09902,,40.987491607666016,2601.09902v1_A Novel Contrastive Loss for Zero-Day Network Intr.pdf
OCTOBENCH: Benchmarking Scaffold-Aware Instruction Following in,"Qunhong Zeng2, Jiahang Lin1∗, Chengjun Xiao2, Honglin Guo1",None,arXiv:2601.10343,,40.01283645629883,2601.10343v2_OctoBench Benchmarking Scaffold-Aware Instruction .pdf
DScheLLM: Enabling Dynamic Scheduling through a Fine-Tuned,"Jinhu Lva, Lixiang Zhanga, Chenggong Zhaob, Xiaoke Zhaob",None,None,"dynamic scheduling, large language model, fine-tuning, job shop scheduling 
1.",39.68644142150879,2601.09100v2_DScheLLM Enabling Dynamic Scheduling through a Fin.pdf
Domain-Adaptation through Synthetic Data:,"Armin Berger1,3,4, David Berghaus1,3, Jana Birr1, Ali Hamza",None,arXiv:2601.14160,,39.41178321838379,2601.14160v1_Domain-Adaptation through Synthetic Data Fine-Tuni.pdf
Why AI Alignment Failure Is Structural:,"Richard Feyman, Claudio Lera1",None,arXiv:2601.08673,,42.24443435668945,2601.08673v1_Why AI Alignment Failure Is Structural Learned Hum.pdf
WaveFormer: Frequency-Time Decoupled Vision Modeling with Wave Equation,"Wei Yan1*, Chang Liu2†, Xudong Liu1, Youdong Mao1†",None,arXiv:2601.08602,,44.56615447998047,2601.08602v1_WaveFormer Frequency-Time Decoupled Vision Modelin.pdf
Enhancing Image Quality Assessment Ability of,"Yucheng Zhu1, Jun Zhao2, Guangtao Zhai1, Huiyu Duan1",None,arXiv:2601.08311,,41.869401931762695,2601.08311v1_Enhancing Image Quality Assessment Ability of LMMs.pdf
TEMPORAL-SPATIAL DECOUPLE BEFORE ACT: DISENTANGLED REPRESENTATION,"Ziyang Zhou2, Zhongxue Gan1, Gated Recouple",None,arXiv:2601.13659,,37.93072700500488,2601.13659v1_Temporal-Spatial Decouple before Act Disentangled .pdf
IF-GEO: Conflict-Aware Instruction Fusion for Multi-Query Generative,"Xiaolu Chen1, JiaJia Chen2, Zhen Chen1*, Generative Engines",None,arXiv:2601.13938,,41.91946983337402,2601.13938v1_IF-GEO Conflict-Aware Instruction Fusion for Multi.pdf
Spectral Characterization and Mitigation of,"Ying Zhou1, Sequential Knowledge, Zisheng Zhou1, Zhumin Chen1
1Shandong University",None,arXiv:2601.11042,,39.80588912963867,2601.11042v1_Spectral Characterization and Mitigation of Sequen.pdf
The Hidden Toll of Social Media News: Causal Effects on Psychosocial Wellbeing,Koustuv Saha,None,arXiv:2601.13487,,41.91994667053223,2601.13487v1_The Hidden Toll of Social Media News Causal Effect.pdf
LaViT: Aligning Latent Visual Thoughts for Multi-modal Reasoning,"Tianxiang Jiang*2, Linquan Wu*1, Haoyu Yang4",None,arXiv:2601.10129,,45.11237144470215,2601.10129v1_LaViT Aligning Latent Visual Thoughts for Multi-mo.pdf
Real-Time Localization Framework for Autonomous,"Sreejon Mondal
School, Robot Basketball",None,arXiv:2601.08713,,41.16392135620117,2601.08713v1_Real-Time Localization Framework for Autonomous Ba.pdf
Ability Transfer and Recovery via Modularized Parameters Localization,"Peng Wang, Kun Zhou, Ability Transfer, Wenqi Li",None,arXiv:2601.09398,,44.968366622924805,2601.09398v1_Ability Transfer and Recovery via Modularized Para.pdf
MiCA: A Mobility-Informed Causal Adapter for Lightweight Epidemic,,None,arXiv:2601.11089,,40.75312614440918,2601.11089v2_MiCA A Mobility-Informed Causal Adapter for Lightw.pdf
Attention Consistency Regularization for,"Yanhua Zhao, Universitat Darmstadt
Darmstadt",None,arXiv:2601.08891,,40.288448333740234,2601.08891v1_Attention Consistency Regularization for Interpret.pdf
Your One-Stop Solution for AI-Generated Video Detection,"Zhiyuan Yan4
Jin, Haiyang Yu1,6, Zihao Xue2
Yan",None,arXiv:2601.11035,,48.740386962890625,2601.11035v1_Your One-Stop Solution for AI-Generated Video Dete.pdf
Disentangling Task Conflicts in Multi-Task LoRA via,"Achiam et al., Xiangquan Yang2, Guibin Chen2
Yuxin Yang1",None,arXiv:2601.09684,,42.9844856262207,2601.09684v1_Disentangling Task Conflicts in Multi-Task LoRA vi.pdf
Learning Latency-Aware Orchestration for Parallel Multi-Agent Systems,"Xi Shi, Mengxin Zheng, Qian Lou",None,arXiv:2601.10560,,39.49236869812012,2601.10560v1_Learning Latency-Aware Orchestration for Parallel .pdf
Learning Dynamic Collaborative Network for Semi-supervised 3D Vessel,,None,arXiv:2601.07377,,42.57035255432129,2601.07377v1_Learning Dynamic Collaborative Network for Semi-su.pdf
Adversarial Defense in Vision-Language Models:,"Xiaowei Fu
School of Microelectronics, Lei Zhang",None,arXiv:2601.12443,,39.20102119445801,2601.12443v1_Adversarial Defense in Vision-Language Models An O.pdf
Translation as a Scalable Proxy for Multilingual Evaluation,"Lieqi Liu1*, David Ifeoluwa, Evans Kofi",None,arXiv:2601.11778,,43.15543174743652,2601.11778v1_Translation as a Scalable Proxy for Multilingual E.pdf
Instruction-Driven 3D Facial Expression Generation,"Hulin Jin, Tae-Seok Kim",None,arXiv:2601.08179,,41.04971885681152,2601.08179v1_Instruction-Driven 3D Facial Expression Generation.pdf
MCP-ITP: An Automated Framework for Implicit Tool Poisoning in MCP,"Yunhao Yao, Ruiqi Li, Zhiqiang Wang",None,arXiv:2601.07395,,42.14167594909668,2601.07395v1_MCP-ITP An Automated Framework for Implicit Tool P.pdf
Monte-Carlo Tree Search with Neural Network Guidance,"Ioannis Papamichail, Markos Papageorgiou
Technical",None,arXiv:2601.09353,,43.178558349609375,2601.09353v1_Monte-Carlo Tree Search with Neural Network Guidan.pdf
Who Owns the Text? Design Patterns for Preserving Authorship in,,None,arXiv:2601.10236,"AI-assisted writing, human–AI collaboration, psychological ownership, personalization, prove-
nance
1",44.93379592895508,2601.10236v1_Who Owns the Text Design Patterns for Preserving A.pdf
FutureX-Pro: Extending Future Prediction to High-Value,Jiashuo Liu,None,arXiv:2601.12259,,41.872262954711914,2601.12259v1_FutureX-Pro Extending Future Prediction to High-Va.pdf
History Is Not Enough: An Adaptive Dataflow,"Molei Qin1, Bo An1,†
1College, Haochong Xia1, Xinrun Wang2",None,arXiv:2601.10143,,40.607452392578125,2601.10143v1_History Is Not Enough An Adaptive Dataflow System .pdf
Decoupling Sampling Geometry from Optimization Geometry in RLHF,"Tai’an Branch, Wang Zixian",None,arXiv:2601.12415,,37.932634353637695,2601.12415v1_Orthogonalized Policy OptimizationDecoupling Sampl.pdf
Reasoning via Token-wise Branch-and-Merge,"multiplex thinking, Li Dong2, multiplex rollouts, Multiplex Thinking",None,arXiv:2601.08808,,40.51566123962402,2601.08808v1_Multiplex Thinking Reasoning via Token-wise Branch.pdf
A Multi-Agent System for Generating Actionable Business Advice,Kartikey Singh Bhandari1,None,arXiv:2601.12024,,40.099143981933594,2601.12024v1_A Multi-Agent System for Generating Actionable Bus.pdf
Owen-Shapley Policy Optimization (OSPO): A Principled RL Algorithm for,"Fan Yang 1, Tianchen Zhou 1, Generative Search",None,arXiv:2601.08403,,43.7474250793457,2601.08403v1_Owen-Shapley Policy Optimization OSPO A Principled.pdf
LOOP AS A BRIDGE: CAN LOOPED TRANSFORMERS,"Comanici et al., Guo et al., Dongrui Liu1
Jing, Wei et al",None,arXiv:2601.10242,,44.62885856628418,2601.10242v1_Loop as a Bridge Can Looped Transformers Truly Lin.pdf
Scientific production in the era of Large Language Models,Yian Yin1*,10.1126/science.adw3000,None,,42.34480857849121,2601.13187v1_Scientific production in the era of Large Language.pdf
Your Privacy Depends on Others:,"Alexander Ziller1, 4Google DeepMind
Email, Daniel Rückert1",None,arXiv:2601.12922,,40.782928466796875,2601.12922v1_Your Privacy Depends on Others Collusion Vulnerabi.pdf
MemoBrain: Executive Memory as an Agentic Brain for Reasoning,"Zheng Liu1*, Zhao Cao2, an Agentic Brain",None,arXiv:2601.08079,,43.80202293395996,2601.08079v1_MemoBrain Executive Memory as an Agentic Brain for.pdf
Aligning Agentic World Models via Knowledgeable Experience Learning,"Shuofei Qiao, Huajun Chen, Rui Sun, Ningyu Zhang",None,arXiv:2601.13247,,41.1677360534668,2601.13247v1_Aligning Agentic World Models via Knowledgeable Ex.pdf
Bias Dynamics in BabyLMs: Towards a Compute-Efficient Sandbox for,"Bias Dynamics, Paula Buttery, Andrew Caines",None,arXiv:2601.09421,,43.756723403930664,2601.09421v2_Bias Dynamics in BabyLMs Towards a Compute-Efficie.pdf
Using deep learning for predicting cleansing,"Esmaeil S. Nadimi, Kristian Dalsbø Hindberg, Ulrik Deding",None,arXiv:2601.13412,,43.76554489135742,2601.13412v1_Using deep learning for predicting cleansing quali.pdf
KNOWLEDGE DISTILLATION FOR LLM-BASED HUMAN ACTIVITY,Grenoble Alpes,None,arXiv:2601.07469,"Human activity recognition · large language mod-
els · knowledge distillation · ambient intelligence · smart
homes.
1",46.26607894897461,2601.07469v1_Knowledge Distillation for LLM-Based Human Activit.pdf
DiSCo: Making Absence Visible in Intelligent Summarization Interfaces,"Domain Informed Summarization, • Computing",None,arXiv:2601.07229,,39.484262466430664,2601.07229v2_DiSCo Making Absence Visible in Intelligent Summar.pdf
Seeing Right but Saying Wrong: Inter- and Intra-Layer Refinement in MLLMs,"Shezheng Song, Jie Yu, Shasha Li",None,arXiv:2601.07359,,44.22402381896973,2601.07359v1_Seeing Right but Saying Wrong Inter- and Intra-Lay.pdf
