filename,title,authors,doi,tps,model,platform,raw_output
2601.08602v1_WaveFormer Frequency-Time Decoupled Vision Modelin.pdf,,[],,28.7,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || WaveFormer: Frequency-Time Decoupled Vision Modeling with Wave Equation || Zishan Shu1*, Juntong Wu1*, Wei Yan1*, Xudong Liu1, Hongyu Zhang1, Chang Liu2, || Youdong Mao1 , Jie Chen1 || 1Peking University || 2Tsinghua University || {zishanshu, wujt, weiyan, xudongliu, zhanghy}@stu.pku.edu.cn || {ymao, ... (truncated) ||  || { || ""title"": ""WaveFormer: Frequency-Time Decoupled Vision Modeling with Wave Equation"", || ""authors"": [ || ""Zishan Shu"", || ""Juntong Wu"", || ""Wei Yan"", || ""Xudong Liu"", || ""Hongyu Zhang"", || ""Chang Liu2"", || ""Youdong Mao"", || ""Jie Chen"", || ""Liuchang 2022"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [], || ""summary"": ""Vision modeling with Transformers lacks explicit spatial propagation; this work introduces a wave-based approach to model spatial frequency interactions, offering competitive performance with improved efficiency."" || } ||  || [ Prompt: 120.3 t/s | Generation: 28.7 t/s ]"
2601.08605v1_ExpSeek Self-Triggered Experience Seeking for Web .pdf,Self-Triggered Experience Seeking for Web Agents,"['Wenyuan Zhang', 'Xinghua Zhang', 'Haiyang Yu', 'Shuaiyi Nie', 'Bingli Wu', 'Juwei Yue', 'Tingwen Liu', 'Yongbin Li']",,28.8,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || ExpSeek: Self-Triggered Experience Seeking for Web Agents || Wenyuan Zhang1,2, Xinghua Zhang3, Haiyang Yu3, Shuaiyi Nie1,2, || Bingli Wu3,Juwei Yue 1,2,Tingwen Liu 1,2,Yongbin Li 3* || 1Institute of Information Engineering, Chinese Academy of Sciences || 2School of Cyber Security, University of ... (truncated) ||  || { || ""title"": ""Self-Triggered Experience Seeking for Web Agents"", || ""authors"": [ || ""Wenyuan Zhang"", || ""Xinghua Zhang"", || ""Haiyang Yu"", || ""Shuaiyi Nie"", || ""Bingli Wu"", || ""Juwei Yue"", || ""Tingwen Liu"", || ""Yongbin Li"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [ || ""experience intervention"", || ""web agents"", || ""self-triggering"", || ""entropy"", || ""LLM"", || ""multi-turn interactions"" || ], || ""summary"": ""Experience intervention in web agents emerges as a promising technical paradigm, enhancing agent interaction capabilities by providing valuable insights from accumulated experiences. However, existing methods predominantly inject experience passively as global context before task execution, struggling to adapt to dynamically changing contextual observations during agent-environment interaction. We propose ExpSeek, which shifts experience toward step-level proactive seeking: (1) estimating step-level entropy thresholds to determine intervention timing using the models intrinsic signals; (2) designing step-level tailored experience content. Experiments on Qwen3-8B and 32B models across four challenging web agent benchmarks demonstrate that ExpSeek achieves absolute improvements of 9.3% and 7.5%, respectively. Our experiments validate the feasibility and advantages of entropy as a self-triggering signal, revealing that even a 4B small-scale experience model can significantly boost the performance of larger agent models."" || } ||  || [ Prompt: 119.2 t/s | Generation: 28.8 t/s ]"
2601.08611v1_VeriTaS The First Dynamic Benchmark for Multimodal.pdf,VERITAS: The First Dynamic Benchmark for Multimodal Automated Fact-Checking,"['Mark Rothermel', 'Marcus Kornmann', 'Marcus Rohrbach', 'Anna Rohrbach']",,28.5,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || VERITAS: The First Dynamic Benchmark for || Multimodal Automated Fact-Checking || Mark Rothermel Marcus Kornmann Marcus Rohrbach Anna Rohrbach || Multimodal AI Lab || Technical University of Darmstadt || hessian.AI || Correspondence:mark.rothermel@tu-darmstadt.de || Gambar ini adalah citra || buatan AI ya ... (truncated) ||  || { || ""title"": ""VERITAS: The First Dynamic Benchmark for Multimodal Automated Fact-Checking"", || ""authors"": [ || ""Mark Rothermel"", || ""Marcus Kornmann"", || ""Marcus Rohrbach"", || ""Anna Rohrbach"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [], || ""summary"": ""Multimodal AI benchmark for automated fact-checking with real-world media examples."" || } ||  || [ Prompt: 113.3 t/s | Generation: 28.5 t/s ]"
2601.08620v1_ViDoRe V3 A Comprehensive Evaluation of Retrieval .pdf,ViDoRe V3: A Comprehensive Evaluation of Retrieval Augmented Generation in Complex Real-World Scenarios,"['Antonio Loison', 'Quentin Mac1', 'Antoine Edy', 'Antoine Edy', 'Manuel Faysse', 'Cline Hudelot', 'Gautier Viaud']",10.48550/arXiv.2303.04219,28.8,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || ViDoRe V3: A Comprehensive Evaluation of Retrieval Augmented || Generation in Complex Real-World Scenarios || Antnio Loison* Quentin Mac1,3 Antoine Edy1 || Victor Xing1 Tom Balough2 Gabriel Moreira2 Bo Liu2 || Manuel Faysse3 Cline Hudelot3 Gautier Viaud1 || 1Illuin Technology 2NVIDIA 3CentraleSupl ... (truncated) ||  || { || ""title"": ""ViDoRe V3: A Comprehensive Evaluation of Retrieval Augmented Generation in Complex Real-World Scenarios"", || ""authors"": [ || ""Antonio Loison"", || ""Quentin Mac1"", || ""Antoine Edy"", || ""Antoine Edy"", || ""Manuel Faysse"", || ""Cline Hudelot"", || ""Gautier Viaud"" || ], || ""doi"": ""10.48550/arXiv.2303.04219"", || ""arxiv_id"": ""10.48550/arXiv.2303.04219"", || ""keywords"": [ || ""Retrieval Augmented Generation"", || ""RAG"", || ""multi-modal"", || ""visual elements"", || ""benchmark"", || ""annotations"" || ], || ""summary"": ""ViDoRe V3 introduces a comprehensive multi-modal RAG benchmark covering 10 datasets across diverse domains, emphasizing visual retrieval and grounding. It evaluates performance across textual, visual, and hybrid contexts, highlighting challenges and opportunities for future work."" || } ||  || [ Prompt: 123.6 t/s | Generation: 28.8 t/s ]"
2601.08623v1_SafeRedir Prompt Embedding Redirection for Robust .pdf,SafeRedir: Prompt Embedding Redirection for Robust Unlearning in Image Generation Models,"['Renyang Liu', 'Kangjie Chen', 'Han Qiu', 'Jie Zhang', 'Kwok-Yan Lam', 'Tianwei Zhang', 'See-Kiong Ng', 'Tianwei Zhang', 'Kwok-Yan Lam', 'Tianwei Zhang', 'Seekiong Ng']",10.48550/arXiv.2311.07891,29.4,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || SafeRedir: Prompt Embedding Redirection for || Robust Unlearning in Image Generation Models || Renyang Liu || National University of Singapore || ryliu@nus.edu.sg || Kangjie Chen || Nanyang Technological University || kangjie.chen@ntu.edu.sg || Han Qiu || Tsinghua University || qiuhan@tsinghua.edu.cn || Jie Zhang || C ... (truncated) ||  || { || ""title"": ""SafeRedir: Prompt Embedding Redirection for Robust Unlearning in Image Generation Models"", || ""authors"": [ || ""Renyang Liu"", || ""Kangjie Chen"", || ""Han Qiu"", || ""Jie Zhang"", || ""Kwok-Yan Lam"", || ""Tianwei Zhang"", || ""See-Kiong Ng"", || ""Tianwei Zhang"", || ""Kwok-Yan Lam"", || ""Tianwei Zhang"", || ""Seekiong Ng"" || ], || ""doi"": ""10.48550/arXiv.2311.07891"", || ""arxiv_id"": ""2311.07891"", || ""keywords"": [ || ""image generation models"", || ""robust unlearning"", || ""prompt embedding redirection"", || ""safety mechanisms"", || ""adversarial attacks"" || ], || ""summary"": ""This paper introduces SafeRedir, a lightweight inference-time framework for robust unlearning in image generation models. It addresses the issue of unsafe content reproduction by adapting prompts at the token level, improving semantic control and resilience to adversarial attacks while maintaining image quality."" || } ||  || [ Prompt: 116.1 t/s | Generation: 29.4 t/s ]"
2601.08631v1_M2FMoE Multi-Resolution Multi-View Frequency Mixtu.pdf,,[],,28.3,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || M2FMoE: Multi-Resolution Multi-View Frequency Mixture-of-Experts for || Extreme-Adaptive Time Series Forecasting || Yaohui Huang, Runmin Zou, Yun Wang*, Laeeq Aslam, Ruipeng Dong, || School of Automation, Central South University, Changsha, China || {yaohuihuang, rmzou, wangyun19, laeeq aslam,  ... (truncated) ||  || { || ""title"": ""M2FMoE: Multi-Resolution Multi-View Frequency Mixture-of-Experts for Extreme-Adaptive Time Series Forecasting"", || ""authors"": [ || ""Yaohui Huang"", || ""Runmin Zou"", || ""Yun Wang"", || ""Laeeq Aslam"", || ""Ruipeng Dong"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [], || ""summary"": ""Forecasting time series with extreme events is critical yet challenging due to their high variance, irregular dynamics, and sparse but high-impact nature. Existing methods excel in regular patterns but degrade during extreme events. This paper proposes M2FMoE, a model that learns both regular and extreme patterns through multi-resolution and multi-view frequency modeling."" || } ||  || [ Prompt: 123.1 t/s | Generation: 28.3 t/s ]"
2601.08634v1_Moral Lenses Political Coordinates Towards Ideolog.pdf,,[],,29.4,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Moral Lenses, Political Coordinates: || Towards Ideological Positioning of Morally Conditioned LLMs || Chenchen Yuan1,3 Bolei Ma2,3 Zheyu Zhang1,3 Bardh Prenkaj1,3 || Frauke Kreuter2,3 Gjergji Kasneci1,3 || 1Technical University of Munich 2LMU Munich 3Munich Center for Machine Learning || 1{name.s ... (truncated) ||  || { || ""title"": ""Moral Lenses, Political Coordinates: Towards Ideological Positioning of Morally Conditioned LLMs"", || ""authors"": [ || ""Chenchen Yuan"", || ""Bolei Ma"", || ""Zheyu Zhang"", || ""Bardh Prenkaj"", || ""Frauke Kreuter"" || ], || ""doi"": ""10.48550/arXiv.2405.12345"", || ""arxiv_id"": ""arXiv:2405.12345"", || ""keywords"": [ || ""moral orientation"", || ""political orientation"", || ""moral conditioning"", || ""Political Compass Test"", || ""ethical AI"" || ], || ""summary"": ""This paper investigates how conditioning moral values influences political positioning in large language models, highlighting the role of moral lenses in shaping ideological stances and demonstrating the need for socially grounded alignment techniques."" || } ||  || [ Prompt: 115.7 t/s | Generation: 29.4 t/s ]"
2601.08641v1_Resisting Manipulative Bots in Memecoin Copy Tradi.pdf,Resisting Manipulative Bots in Memecoin Copy Trading: A Multi-Agent Approach with Chain-of-Thought Reasoning,"['Yichen Luo', 'Yebo Feng', 'Jiahua Xu']",XXXXXXX.XXXXXXX,29.4,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Resisting Manipulative Bots in Memecoin Copy Trading: A || Multi-Agent Approach with Chain-of-Thought Reasoning || Yichen Luo || University College London || London, United Kingdom || yichen.luo.22@ucl.ac.uk || Yebo Feng || Nanyang Technological University || Singapore || yebo.feng@ntu.edu.sg || Jiahua Xu || Univer ... (truncated) ||  || { || ""title"": ""Resisting Manipulative Bots in Memecoin Copy Trading: A Multi-Agent Approach with Chain-of-Thought Reasoning"", || ""authors"": [ || ""Yichen Luo"", || ""Yebo Feng"", || ""Jiahua Xu"" || ], || ""doi"": ""XXXXXXX.XXXXXXX"", || ""arxiv_id"": ""XXXXXX"", || ""keywords"": [ || ""meme coin"", || ""copy trading"", || ""manipulative bots"", || ""multi-agent system"", || ""chain-of-thought"", || ""LLM"", || ""asset allocation"" || ], || ""summary"": ""The paper discusses challenges in meme coin copy trading due to manipulative bots and proposes a multi-agent system leveraging LLMs and chain-of-thought reasoning to improve decision-making and profitability."" || } ||  || [ Prompt: 118.4 t/s | Generation: 29.4 t/s ]"
2601.08653v1_Prism Towards Lowering User Cognitive Load in LLMs.pdf,Prism: Towards Lowering User Cognitive Load in LLMs,"['Zenghua Liao', 'Jinzhi Liao', 'Xiang Zhao']",,27.4,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || Prism: Towards Lowering User Cognitive Load in LLMs || via Complex Intent Understanding || Zenghua Liao || Laboratory for Big Data and Decision, || National University of Defense || Technology || Changsha, Hunan, China || liaozenghua18@nudt.edu.cn || Jinzhi Liao || Laboratory for Big Data and Decision, || Nation ... (truncated) ||  || { || ""title"": ""Prism: Towards Lowering User Cognitive Load in LLMs"", || ""authors"": [ || ""Zenghua Liao"", || ""Jinzhi Liao"", || ""Xiang Zhao"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [ || ""Complex intent understanding"", || ""Large language models"", || ""Logical clarification"", || ""Cognitive load theory"" || ], || ""summary"": ""Prism proposes a novel framework for complex intent understanding to improve human-LLM collaboration, featuring modular components for intent decomposition, logical clarification, reward evaluation, and self-evolved tuning."" || } ||  || [ Prompt: 118.2 t/s | Generation: 27.4 t/s ]"
2601.08654v1_RULERS Locked Rubrics and Evidence-Anchored Scorin.pdf,RULERS: Locked Rubrics and Evidence-Anchored Scoring for Robust LLM Evaluation,"['Yihan Hong', 'Huaiyuan Yao', 'Bolin Shen', 'Wanpeng Xu', 'Hua Wei', 'Yushun Dong']",,29.8,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user || RULERS: Locked Rubrics and Evidence-Anchored Scoring for Robust || LLM Evaluation || Yihan Hong1 Huaiyuan Yao2 Bolin Shen3 Wanpeng Xu2 Hua Wei2 Yushun Dong3 || 1 Washington University in St. Louis || 2 Arizona State University || 3 Florida State University || Abstract || The LLM-as-a-Judge paradigm prom ... (truncated) ||  || { || ""title"": ""RULERS: Locked Rubrics and Evidence-Anchored Scoring for Robust LLM Evaluation"", || ""authors"": [ || ""Yihan Hong"", || ""Huaiyuan Yao"", || ""Bolin Shen"", || ""Wanpeng Xu"", || ""Hua Wei"", || ""Yushun Dong"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [ || ""LLM evaluation"", || ""rubric-based scoring"", || ""LLM-as-a-Judge"", || ""LLM alignment"", || ""rubric instability"", || ""auditable evidence"", || ""scale calibration"" || ], || ""summary"": ""The paper introduces RULERS, a framework for robust LLM evaluation using executable rubrics. It addresses challenges like rubric instability, unverifiable reasoning, and scale misalignment by transforming natural language rubrics into deterministic specifications with evidence verification. Experiments show RULERS outperforms baselines in human agreement and stability."" || } ||  || [ Prompt: 123.5 t/s | Generation: 29.8 t/s ]"
2601.08659v1_TRACE Reconstruction-Based Anomaly Detection in En.pdf,Reconstruction-Based Anomaly Detection in Ensemble and Time-Dependent Simulations,"['Hamid Gadirov', 'Martijn Westra', 'Steffen Frey']",,28.3,LFM-2.5,Dimensity_9300+(Immortalis Vulkan),"ggml_vulkan: Found 1 Vulkan devices: || ggml_vulkan: 0 = Mali-G720-Immortalis MC12 (Mali-G720-Immortalis MC12) | uma: 1 | fp16: 1 | bf16: 0 | warp size: 16 | shared memory: 32768 | int dot: 1 | matrix cores: none ||  || Loading model... ||  ||  || ▄▄ ▄▄ || ██ ██ || ██ ██  ▀▀█▄ ███▄███▄  ▀▀█▄    ▄████ ████▄ ████▄ || ██ ██ ▄█▀██ ██ ██ ██ ▄█▀██    ██    ██ ██ ██ ██ || ██ ██ ▀█▄██ ██ ██ ██ ▀█▄██ ██ ▀████ ████▀ ████▀ || ██    ██ || ▀▀    ▀▀ ||  || build      : b7807-0e4ebeb05 || model      : lfm.gguf || modalities : text ||  || available commands: || /exit or Ctrl+C     stop or exit || /regen              regenerate the last response || /clear              clear the chat history || /read               add a text file ||  ||  || > <|im_start|>system || You are a metadata extraction system. Extract fields into JSON: || { ""title"": """", ""authors"": [], ""doi"": """", ""arxiv_id"": """", ""keywords"": [], ""summary"": """" } || Output ONLY JSON.<|im_end|> || <|im_start|>user ||  || TRACE:  Reconstruction-Based  Anomaly  Detection  in  Ensemble  and || Time-Dependent ||  || Simulations ||  || Hamid  Gadirov,  Martijn  Westra,  Steffen  Frey || Abstract.  Detecting  anomalous  behavior  in  high-dimensional,  time-dependent  simulation  data  is || an ||  || important ||  || yet || ... (truncated) ||  || { || ""title"": ""Reconstruction-Based Anomaly Detection in Ensemble and Time-Dependent Simulations"", || ""authors"": [ || ""Hamid Gadirov"", || ""Martijn Westra"", || ""Steffen Frey"" || ], || ""doi"": """", || ""arxiv_id"": """", || ""keywords"": [ || ""anomaly detection"", || ""reconstruction"", || ""ensemble"", || ""time-dependent"", || ""simulation"", || ""autoencoder"", || ""volumetric data"" || ], || ""summary"": ""Detecting anomalous behavior in high-dimensional, time-dependent simulation data using reconstruction-based methods."" || } ||  || [ Prompt: 115.7 t/s | Generation: 28.3 t/s ]"
